ticker,isu_cd,entry_signal_date,entry_execution_date,name,market,representative_window,observed_windows,n_windows_observed,same_cutoff_return_spread,trade_id,pair_id,trade_status,exit_type,terminal_return,enrichment_status
189300,KR7189300007,2020-10-16,2020-10-19,189300,KOSDAQ,P1,P1,1,0.0,189300_01,189300|KR7189300007|KOSDAQ|2016-10-18|2026-09-01|189300_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,109.38,READY
220100,KR7220100002,2020-10-16,2020-10-19,220100,KOSDAQ,P1,P1,1,0.0,220100_01,220100|KR7220100002|KOSDAQ|2016-12-01|2026-09-01|220100_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,47.69,READY
220630,KR7220630008,2020-10-16,2020-10-19,220630,KOSDAQ,P1,P1,1,0.0,220630_01,220630|KR7220630008|KOSDAQ|2016-10-06|2022-05-30|220630_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,38.36,READY
246690,KR7246690002,2020-10-16,2020-10-19,246690,KOSDAQ,P1,P1,1,0.0,246690_02,246690|KR7246690002|KOSDAQ|2016-12-15|2026-09-01|246690_02,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-16.96,READY
016360,KR7016360000,2020-10-23,2020-10-26,16360,KOSPI,P1,P1,1,0.0,016360_04,016360|KR7016360000|KOSPI|2010-01-04|2026-09-01|016360_04,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,97.68,READY
017550,KR7017550005,2020-10-23,2020-10-26,17550,KOSPI,P1,P1,1,0.0,017550_03,017550|KR7017550005|KOSPI|2010-01-04|2026-09-01|017550_03,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,90.76,READY
019770,KR7019770007,2020-10-23,2020-10-26,19770,KOSDAQ,P1,P1,1,0.0,019770_02,019770|KR7019770007|KOSDAQ|2011-06-24|2026-09-01|019770_02,REALIZED,EXIT3_PROGRESSED_TO_TRANSITION,6.73,READY
105630,KR7105630008,2020-10-23,2020-10-26,105630,KOSPI,P1,P1,1,0.0,105630_01,105630|KR7105630008|KOSPI|2010-01-04|2026-09-01|105630_01,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-15.69,READY
121440,KR7121440002,2020-10-23,2020-10-26,121440,KOSDAQ,P1,P1,1,0.0,121440_02,121440|KR7121440002|KOSDAQ|2011-05-20|2026-09-01|121440_02,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,-16.33,READY
006370,KR7006370001,2020-10-30,2020-11-02,6370,KOSPI,P1,P1,1,0.0,006370_02,006370|KR7006370001|KOSPI|2010-01-04|2026-09-01|006370_02,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,67.8,READY
