comparison,group,reference,extreme_contrast,feature,feature_kind,level,scope,group_n,reference_n,group_median,reference_median,group_share_pct,reference_share_pct,auc,effect,effect_unit
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,investability_status,categorical,FILTERED_LIQUIDITY,WINDOW_P2-1,187,1613,,,2.6738,4.0918,,-1.418,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,investability_status,categorical,FILTERED_LIQUIDITY,WINDOW_P2-2,336,2088,,,4.1667,4.1188,,0.0479,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,investability_status,categorical,FILTERED_LIQUIDITY,WINDOW_P3-1,106,1067,,,3.7736,5.1546,,-1.3811,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,investability_status,categorical,FILTERED_LIQUIDITY,WINDOW_P3-2,249,1543,,,4.4177,5.1847,,-0.767,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,investability_status,categorical,FILTERED_LIQUIDITY,ENTRY_BEFORE_2021,480,2409,,,6.6667,3.5284,,3.1382,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,investability_status,categorical,FILTERED_LIQUIDITY,ENTRY_FROM_2021,350,2141,,,4.2857,4.2036,,0.0821,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,investability_status,categorical,FILTERED_MARKET_CAP,WINDOW_P1,757,4225,,,34.6103,28.0947,,6.5156,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,investability_status,categorical,FILTERED_MARKET_CAP,WINDOW_P2-1,187,1613,,,20.8556,19.0949,,1.7608,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,investability_status,categorical,FILTERED_MARKET_CAP,WINDOW_P2-2,336,2088,,,16.369,20.4981,,-4.129,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,investability_status,categorical,FILTERED_MARKET_CAP,WINDOW_P3-1,106,1067,,,7.5472,17.1509,,-9.6037,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,investability_status,categorical,FILTERED_MARKET_CAP,WINDOW_P3-2,249,1543,,,9.2369,19.7019,,-10.4649,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,investability_status,categorical,FILTERED_MARKET_CAP,ENTRY_BEFORE_2021,480,2409,,,45.0,33.1258,,11.8742,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,investability_status,categorical,FILTERED_MARKET_CAP,ENTRY_FROM_2021,350,2141,,,15.7143,20.5044,,-4.7902,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,investability_status,categorical,INVESTABLE,WINDOW_P1,757,4225,,,59.8415,68.2367,,-8.3952,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,investability_status,categorical,INVESTABLE,WINDOW_P2-1,187,1613,,,76.4706,76.8134,,-0.3428,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,investability_status,categorical,INVESTABLE,WINDOW_P2-2,336,2088,,,79.4643,75.3831,,4.0811,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,investability_status,categorical,INVESTABLE,WINDOW_P3-1,106,1067,,,88.6792,77.6945,,10.9848,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,investability_status,categorical,INVESTABLE,WINDOW_P3-2,249,1543,,,86.3454,75.1134,,11.232,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,investability_status,categorical,INVESTABLE,ENTRY_BEFORE_2021,480,2409,,,48.3333,63.3458,,-15.0125,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,investability_status,categorical,INVESTABLE,ENTRY_FROM_2021,350,2141,,,80.0,75.2919,,4.7081,share_pp
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,fast_score,numeric,,WINDOW_P1,320,4662,76.545,76.85,,,0.4968,-0.0032,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,fast_score,numeric,,WINDOW_P2-1,64,1736,76.76,77.12,,,0.4505,-0.0495,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,fast_score,numeric,,WINDOW_P2-2,134,2290,75.74,76.85,,,0.461,-0.039,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,fast_score,numeric,,WINDOW_P3-1,30,1143,75.98,76.85,,,0.457,-0.043,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,fast_score,numeric,,WINDOW_P3-2,96,1696,75.89,76.67,,,0.496,-0.004,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,fast_score,numeric,,ENTRY_BEFORE_2021,207,2682,76.94,76.85,,,0.5224,0.0224,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,fast_score,numeric,,ENTRY_FROM_2021,139,2352,76.04,76.85,,,0.4714,-0.0286,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,pattern_a_score,numeric,,WINDOW_P1,320,4662,61.5934,60.0328,,,0.5182,0.0182,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,pattern_a_score,numeric,,WINDOW_P2-1,64,1736,55.3529,58.3974,,,0.4908,-0.0092,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,pattern_a_score,numeric,,WINDOW_P2-2,134,2290,55.2427,56.6843,,,0.4818,-0.0182,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,pattern_a_score,numeric,,WINDOW_P3-1,30,1143,61.3355,60.1882,,,0.516,0.016,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,pattern_a_score,numeric,,WINDOW_P3-2,96,1696,58.7156,57.3367,,,0.5055,0.0055,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,pattern_a_score,numeric,,ENTRY_BEFORE_2021,207,2682,64.9272,63.0191,,,0.5233,0.0233,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,pattern_a_score,numeric,,ENTRY_FROM_2021,139,2352,55.8007,56.925,,,0.4866,-0.0134,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,fast_weekly_core_score,numeric,,WINDOW_P1,320,4662,82.75,82.75,,,0.4978,-0.0022,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,fast_weekly_core_score,numeric,,WINDOW_P2-1,64,1736,82.75,82.75,,,0.5204,0.0204,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,fast_weekly_core_score,numeric,,WINDOW_P2-2,134,2290,82.75,82.75,,,0.4819,-0.0181,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,fast_weekly_core_score,numeric,,WINDOW_P3-1,30,1143,82.75,82.75,,,0.536,0.036,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,fast_weekly_core_score,numeric,,WINDOW_P3-2,96,1696,82.75,82.75,,,0.4918,-0.0082,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,fast_weekly_core_score,numeric,,ENTRY_BEFORE_2021,207,2682,82.75,82.75,,,0.505,0.005,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,fast_weekly_core_score,numeric,,ENTRY_FROM_2021,139,2352,82.75,82.75,,,0.4837,-0.0163,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,range_position_24m,numeric,,WINDOW_P1,320,4662,0.5156,0.5368,,,0.4774,-0.0226,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,range_position_24m,numeric,,WINDOW_P2-1,64,1736,0.6114,0.5658,,,0.534,0.034,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,range_position_24m,numeric,,WINDOW_P2-2,134,2290,0.5477,0.5512,,,0.4841,-0.0159,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,range_position_24m,numeric,,WINDOW_P3-1,30,1143,0.559,0.4926,,,0.5418,0.0418,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,range_position_24m,numeric,,WINDOW_P3-2,96,1696,0.505,0.5003,,,0.4924,-0.0076,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,range_position_24m,numeric,,ENTRY_BEFORE_2021,207,2682,0.5235,0.5382,,,0.486,-0.014,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,range_position_24m,numeric,,ENTRY_FROM_2021,139,2352,0.5534,0.5498,,,0.4939,-0.0061,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,monthly_down_month_ratio_12m,numeric,,WINDOW_P1,320,4662,0.5,0.5,,,0.5119,0.0119,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,monthly_down_month_ratio_12m,numeric,,WINDOW_P2-1,64,1736,0.4167,0.5,,,0.4796,-0.0204,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,monthly_down_month_ratio_12m,numeric,,WINDOW_P2-2,134,2290,0.5,0.5,,,0.5152,0.0152,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,monthly_down_month_ratio_12m,numeric,,WINDOW_P3-1,30,1143,0.5,0.5,,,0.4924,-0.0076,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,monthly_down_month_ratio_12m,numeric,,WINDOW_P3-2,96,1696,0.5,0.5,,,0.511,0.011,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,monthly_down_month_ratio_12m,numeric,,ENTRY_BEFORE_2021,207,2682,0.5,0.5,,,0.5058,0.0058,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,monthly_down_month_ratio_12m,numeric,,ENTRY_FROM_2021,139,2352,0.5,0.5,,,0.512,0.012,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,distance_to_prior_26w_high_pct,numeric,,WINDOW_P1,320,4662,0.0086,0.0106,,,0.4864,-0.0136,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,distance_to_prior_26w_high_pct,numeric,,WINDOW_P2-1,64,1736,0.014,0.0091,,,0.5343,0.0343,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,distance_to_prior_26w_high_pct,numeric,,WINDOW_P2-2,134,2290,0.0086,0.0084,,,0.5091,0.0091,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,distance_to_prior_26w_high_pct,numeric,,WINDOW_P3-1,30,1143,0.0045,0.0085,,,0.4856,-0.0144,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,distance_to_prior_26w_high_pct,numeric,,WINDOW_P3-2,96,1696,0.0066,0.0082,,,0.4791,-0.0209,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,distance_to_prior_26w_high_pct,numeric,,ENTRY_BEFORE_2021,207,2682,0.0084,0.0118,,,0.4752,-0.0248,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,distance_to_prior_26w_high_pct,numeric,,ENTRY_FROM_2021,139,2352,0.0087,0.0084,,,0.5062,0.0062,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,close_vs_wma200_pct,numeric,,WINDOW_P1,309,4412,0.1341,0.1624,,,0.4721,-0.0279,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,close_vs_wma200_pct,numeric,,WINDOW_P2-1,62,1651,0.151,0.1515,,,0.4959,-0.0041,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,close_vs_wma200_pct,numeric,,WINDOW_P2-2,130,2181,0.1087,0.1358,,,0.4806,-0.0194,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,close_vs_wma200_pct,numeric,,WINDOW_P3-1,29,1088,0.2868,0.1445,,,0.6194,0.1194,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,close_vs_wma200_pct,numeric,,WINDOW_P3-2,94,1617,0.1397,0.1266,,,0.5286,0.0286,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,close_vs_wma200_pct,numeric,,ENTRY_BEFORE_2021,200,2538,0.147,0.1849,,,0.4544,-0.0456,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,close_vs_wma200_pct,numeric,,ENTRY_FROM_2021,135,2244,0.1054,0.1356,,,0.4821,-0.0179,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,higher_weekly_low_count_13w,numeric,,WINDOW_P1,320,4662,8.0,8.0,,,0.5166,0.0166,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,higher_weekly_low_count_13w,numeric,,WINDOW_P2-1,64,1736,8.0,8.0,,,0.5183,0.0183,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,higher_weekly_low_count_13w,numeric,,WINDOW_P2-2,134,2290,8.0,8.0,,,0.481,-0.019,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,higher_weekly_low_count_13w,numeric,,WINDOW_P3-1,30,1143,8.0,8.0,,,0.5644,0.0644,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,higher_weekly_low_count_13w,numeric,,WINDOW_P3-2,96,1696,8.0,8.0,,,0.5027,0.0027,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,higher_weekly_low_count_13w,numeric,,ENTRY_BEFORE_2021,207,2682,8.0,8.0,,,0.5321,0.0321,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,higher_weekly_low_count_13w,numeric,,ENTRY_FROM_2021,139,2352,8.0,8.0,,,0.485,-0.015,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,wma52_slope_1w,numeric,,WINDOW_P1,320,4662,0.0028,0.0038,,,0.452,-0.048,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,wma52_slope_1w,numeric,,WINDOW_P2-1,64,1736,0.0037,0.0041,,,0.5243,0.0243,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,wma52_slope_1w,numeric,,WINDOW_P2-2,134,2290,0.0036,0.0044,,,0.4779,-0.0221,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,wma52_slope_1w,numeric,,WINDOW_P3-1,30,1143,0.0019,0.0028,,,0.4897,-0.0103,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,wma52_slope_1w,numeric,,WINDOW_P3-2,96,1696,0.0025,0.0035,,,0.4703,-0.0297,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,wma52_slope_1w,numeric,,ENTRY_BEFORE_2021,207,2682,0.0024,0.0035,,,0.4476,-0.0524,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,wma52_slope_1w,numeric,,ENTRY_FROM_2021,139,2352,0.0035,0.0042,,,0.4787,-0.0213,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,wma12_vs_wma26_pct,numeric,,WINDOW_P1,320,4662,0.0407,0.0454,,,0.462,-0.038,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,wma12_vs_wma26_pct,numeric,,WINDOW_P2-1,64,1736,0.0493,0.0481,,,0.5067,0.0067,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,wma12_vs_wma26_pct,numeric,,WINDOW_P2-2,134,2290,0.0488,0.0481,,,0.4979,-0.0021,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,wma12_vs_wma26_pct,numeric,,WINDOW_P3-1,30,1143,0.0462,0.0402,,,0.5667,0.0667,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,wma12_vs_wma26_pct,numeric,,WINDOW_P3-2,96,1696,0.0439,0.0428,,,0.5124,0.0124,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,wma12_vs_wma26_pct,numeric,,ENTRY_BEFORE_2021,207,2682,0.0373,0.0441,,,0.4482,-0.0518,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,wma12_vs_wma26_pct,numeric,,ENTRY_FROM_2021,139,2352,0.0461,0.0473,,,0.4964,-0.0036,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,weeks_since_26w_close_breakout,numeric,,WINDOW_P1,320,4662,0.0,0.0,,,0.4954,-0.0046,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,weeks_since_26w_close_breakout,numeric,,WINDOW_P2-1,64,1736,0.0,0.0,,,0.492,-0.008,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,weeks_since_26w_close_breakout,numeric,,WINDOW_P2-2,134,2290,0.0,0.0,,,0.4884,-0.0116,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,weeks_since_26w_close_breakout,numeric,,WINDOW_P3-1,30,1143,0.0,0.0,,,0.5063,0.0063,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,weeks_since_26w_close_breakout,numeric,,WINDOW_P3-2,96,1696,0.0,0.0,,,0.4965,-0.0035,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,weeks_since_26w_close_breakout,numeric,,ENTRY_BEFORE_2021,207,2682,0.0,0.0,,,0.505,0.005,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,weeks_since_26w_close_breakout,numeric,,ENTRY_FROM_2021,139,2352,0.0,0.0,,,0.4917,-0.0083,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,post_breakout_min_low_vs_level_pct_26w,numeric,,WINDOW_P1,124,1787,-0.0332,-0.0421,,,0.5104,0.0104,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,post_breakout_min_low_vs_level_pct_26w,numeric,,WINDOW_P2-1,24,705,-0.063,-0.0397,,,0.3916,-0.1084,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,post_breakout_min_low_vs_level_pct_26w,numeric,,WINDOW_P2-2,53,943,-0.0257,-0.0392,,,0.5093,0.0093,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,post_breakout_min_low_vs_level_pct_26w,numeric,,WINDOW_P3-1,12,456,-0.1145,-0.0425,,,0.277,-0.223,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,post_breakout_min_low_vs_level_pct_26w,numeric,,WINDOW_P3-2,40,694,-0.0374,-0.0417,,,0.4994,-0.0006,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,post_breakout_min_low_vs_level_pct_26w,numeric,,ENTRY_BEFORE_2021,80,975,-0.0407,-0.0449,,,0.5105,0.0105,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,post_breakout_min_low_vs_level_pct_26w,numeric,,ENTRY_FROM_2021,56,972,-0.0284,-0.0399,,,0.5113,0.0113,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,recent_5d_max_gap_abs_pct,numeric,,WINDOW_P1,320,4662,0.016,0.0163,,,0.4983,-0.0017,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,recent_5d_max_gap_abs_pct,numeric,,WINDOW_P2-1,64,1736,0.0186,0.0161,,,0.5499,0.0499,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,recent_5d_max_gap_abs_pct,numeric,,WINDOW_P2-2,134,2290,0.018,0.0164,,,0.5228,0.0228,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,recent_5d_max_gap_abs_pct,numeric,,WINDOW_P3-1,30,1143,0.0166,0.0154,,,0.5039,0.0039,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,recent_5d_max_gap_abs_pct,numeric,,WINDOW_P3-2,96,1696,0.0156,0.0163,,,0.4733,-0.0267,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,recent_5d_max_gap_abs_pct,numeric,,ENTRY_BEFORE_2021,207,2682,0.0156,0.0162,,,0.4907,-0.0093,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,recent_5d_max_gap_abs_pct,numeric,,ENTRY_FROM_2021,139,2352,0.0174,0.0164,,,0.5122,0.0122,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,atr_14_pct,numeric,,WINDOW_P1,320,4662,0.0392,0.0426,,,0.4556,-0.0444,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,atr_14_pct,numeric,,WINDOW_P2-1,64,1736,0.0449,0.0427,,,0.5416,0.0416,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,atr_14_pct,numeric,,WINDOW_P2-2,134,2290,0.0417,0.0432,,,0.487,-0.013,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,atr_14_pct,numeric,,WINDOW_P3-1,30,1143,0.0441,0.0425,,,0.5613,0.0613,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,atr_14_pct,numeric,,WINDOW_P3-2,96,1696,0.0409,0.0432,,,0.469,-0.031,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,atr_14_pct,numeric,,ENTRY_BEFORE_2021,207,2682,0.0379,0.0416,,,0.4481,-0.0519,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,atr_14_pct,numeric,,ENTRY_FROM_2021,139,2352,0.041,0.0429,,,0.4779,-0.0221,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,market_cap_eok,numeric,,WINDOW_P1,320,4662,1245.79,1877.015,,,0.4314,-0.0686,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,market_cap_eok,numeric,,WINDOW_P2-1,64,1736,1801.735,2482.96,,,0.4176,-0.0824,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,market_cap_eok,numeric,,WINDOW_P2-2,134,2290,2681.81,2382.63,,,0.5404,0.0404,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,market_cap_eok,numeric,,WINDOW_P3-1,30,1143,2418.47,2952.25,,,0.5065,0.0065,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,market_cap_eok,numeric,,WINDOW_P3-2,96,1696,5637.315,2683.04,,,0.6102,0.1102,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,market_cap_eok,numeric,,ENTRY_BEFORE_2021,207,2682,938.77,1583.82,,,0.3784,-0.1216,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,market_cap_eok,numeric,,ENTRY_FROM_2021,139,2352,3024.58,2424.815,,,0.5517,0.0517,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,avg_trading_value_20d_eok,numeric,,WINDOW_P1,320,4662,13.43,24.105,,,0.4307,-0.0693,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,avg_trading_value_20d_eok,numeric,,WINDOW_P2-1,64,1736,30.33,38.865,,,0.4774,-0.0226,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,avg_trading_value_20d_eok,numeric,,WINDOW_P2-2,134,2290,55.425,33.765,,,0.5553,0.0553,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,avg_trading_value_20d_eok,numeric,,WINDOW_P3-1,30,1143,50.4,35.51,,,0.5359,0.0359,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,avg_trading_value_20d_eok,numeric,,WINDOW_P3-2,96,1696,66.435,29.27,,,0.5992,0.0992,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,avg_trading_value_20d_eok,numeric,,ENTRY_BEFORE_2021,207,2682,7.27,20.135,,,0.3644,-0.1356,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,avg_trading_value_20d_eok,numeric,,ENTRY_FROM_2021,139,2352,60.52,33.88,,,0.5599,0.0599,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,avg_trading_value_60d_eok,numeric,,WINDOW_P1,320,4662,9.765,16.865,,,0.4295,-0.0705,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,avg_trading_value_60d_eok,numeric,,WINDOW_P2-1,64,1736,21.715,27.83,,,0.4679,-0.0321,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,avg_trading_value_60d_eok,numeric,,WINDOW_P2-2,134,2290,32.37,23.87,,,0.555,0.055,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,avg_trading_value_60d_eok,numeric,,WINDOW_P3-1,30,1143,35.06,23.11,,,0.5464,0.0464,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,avg_trading_value_60d_eok,numeric,,WINDOW_P3-2,96,1696,53.36,20.58,,,0.6107,0.1107,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,avg_trading_value_60d_eok,numeric,,ENTRY_BEFORE_2021,207,2682,5.68,14.25,,,0.36,-0.14,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,avg_trading_value_60d_eok,numeric,,ENTRY_FROM_2021,139,2352,38.9,23.86,,,0.5608,0.0608,AUC-0.5
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,market,categorical,KOSDAQ,WINDOW_P1,320,4662,,,55.625,55.0622,,0.5628,share_pp
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,market,categorical,KOSDAQ,WINDOW_P2-1,64,1736,,,54.6875,52.477,,2.2105,share_pp
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,market,categorical,KOSDAQ,WINDOW_P2-2,134,2290,,,50.7463,53.0131,,-2.2668,share_pp
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,market,categorical,KOSDAQ,WINDOW_P3-1,30,1143,,,56.6667,54.5932,,2.0735,share_pp
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,market,categorical,KOSDAQ,WINDOW_P3-2,96,1696,,,50.0,54.717,,-4.717,share_pp
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,market,categorical,KOSDAQ,ENTRY_BEFORE_2021,207,2682,,,57.0048,55.3318,,1.673,share_pp
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,market,categorical,KOSDAQ,ENTRY_FROM_2021,139,2352,,,48.2014,52.6361,,-4.4346,share_pp
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,entry_pattern_a_stage,categorical,EARLY_TREND,WINDOW_P1,320,4662,,,10.3125,13.4492,,-3.1367,share_pp
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,entry_pattern_a_stage,categorical,EARLY_TREND,WINDOW_P2-1,64,1736,,,10.9375,14.8618,,-3.9243,share_pp
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,entry_pattern_a_stage,categorical,EARLY_TREND,WINDOW_P2-2,134,2290,,,8.209,13.5808,,-5.3718,share_pp
WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,entry_pattern_a_stage,categorical,EARLY_TREND,WINDOW_P3-1,30,1143,,,26.6667,13.2108,,13.4558,share_pp
