comparison,group,reference,extreme_contrast,feature,feature_kind,level,scope,group_n,reference_n,group_median,reference_median,group_share_pct,reference_share_pct,auc,effect,effect_unit
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,market,categorical,KOSDAQ,WINDOW_P1,757,4225,,,54.0291,55.2899,,-1.2609,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,market,categorical,KOSDAQ,WINDOW_P2-1,187,1613,,,55.0802,52.2629,,2.8173,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,market,categorical,KOSDAQ,WINDOW_P2-2,336,2088,,,51.7857,53.0651,,-1.2794,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,market,categorical,KOSDAQ,WINDOW_P3-1,106,1067,,,52.8302,54.8266,,-1.9964,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,market,categorical,KOSDAQ,WINDOW_P3-2,249,1543,,,50.2008,55.1523,,-4.9515,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,market,categorical,KOSDAQ,ENTRY_BEFORE_2021,480,2409,,,55.0,55.5417,,-0.5417,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,market,categorical,KOSDAQ,ENTRY_FROM_2021,350,2141,,,50.0,52.7791,,-2.7791,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,entry_pattern_a_stage,categorical,EARLY_TREND,WINDOW_P1,757,4225,,,12.0211,13.4675,,-1.4463,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,entry_pattern_a_stage,categorical,EARLY_TREND,WINDOW_P2-1,187,1613,,,15.508,14.6311,,0.8769,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,entry_pattern_a_stage,categorical,EARLY_TREND,WINDOW_P2-2,336,2088,,,12.7976,13.3621,,-0.5644,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,entry_pattern_a_stage,categorical,EARLY_TREND,WINDOW_P3-1,106,1067,,,19.8113,12.9335,,6.8779,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,entry_pattern_a_stage,categorical,EARLY_TREND,WINDOW_P3-2,249,1543,,,13.6546,11.7304,,1.9242,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,entry_pattern_a_stage,categorical,EARLY_TREND,ENTRY_BEFORE_2021,480,2409,,,12.0833,14.4873,,-2.404,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,entry_pattern_a_stage,categorical,EARLY_TREND,ENTRY_FROM_2021,350,2141,,,13.4286,13.3582,,0.0703,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,daily_risk,categorical,ELEVATED,WINDOW_P1,757,4225,,,20.8719,24.3314,,-3.4595,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,daily_risk,categorical,ELEVATED,WINDOW_P2-1,187,1613,,,24.5989,22.9386,,1.6603,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,daily_risk,categorical,ELEVATED,WINDOW_P2-2,336,2088,,,24.7024,25.5268,,-0.8244,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,daily_risk,categorical,ELEVATED,WINDOW_P3-1,106,1067,,,18.8679,22.3055,,-3.4376,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,daily_risk,categorical,ELEVATED,WINDOW_P3-2,249,1543,,,22.0884,26.442,,-4.3536,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,daily_risk,categorical,ELEVATED,ENTRY_BEFORE_2021,480,2409,,,17.7083,23.2046,,-5.4963,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,daily_risk,categorical,ELEVATED,ENTRY_FROM_2021,350,2141,,,24.2857,25.362,,-1.0763,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,fast_score_state,categorical,PARTIAL,WINDOW_P1,757,4225,,,3.6988,5.5148,,-1.816,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,fast_score_state,categorical,PARTIAL,WINDOW_P2-1,187,1613,,,5.3476,4.7737,,0.5739,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,fast_score_state,categorical,PARTIAL,WINDOW_P2-2,336,2088,,,3.869,4.7893,,-0.9202,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,fast_score_state,categorical,PARTIAL,WINDOW_P3-1,106,1067,,,6.6038,4.5923,,2.0115,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,fast_score_state,categorical,PARTIAL,WINDOW_P3-2,249,1543,,,3.6145,4.6662,,-1.0518,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,fast_score_state,categorical,PARTIAL,ENTRY_BEFORE_2021,480,2409,,,3.5417,5.5625,,-2.0208,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,fast_score_state,categorical,PARTIAL,ENTRY_FROM_2021,350,2141,,,3.7143,4.624,,-0.9097,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,entry_kind,categorical,REENTRY,WINDOW_P1,757,4225,,,58.6526,63.4083,,-4.7557,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,entry_kind,categorical,REENTRY,WINDOW_P2-1,187,1613,,,33.1551,35.3379,,-2.1828,share_pp
