ticker,isu_cd,identity_effective_from,entry_signal_date,ledger_entry_pattern_a_stage,ledger_fast_score,enrichment_status,enrichment_error,reconstructed_pattern_a_stage,pattern_a_score,pattern_a_evaluation_status,reconstructed_fast_score,fast_weekly_core_score,fast_conditional_status,reconstructed_fast_machine_stage,range_position_24m,monthly_down_month_ratio_12m,distance_to_prior_26w_high_pct,close_vs_wma200_pct,higher_weekly_low_count_13w,wma52_slope_1w,wma12_vs_wma26_pct,weeks_since_26w_close_breakout,post_breakout_min_low_vs_level_pct_26w,recent_5d_max_gap_abs_pct,atr_14_pct,market_cap_eok,avg_trading_value_20d_eok,avg_trading_value_60d_eok,investability_status,stage_match,fast_score_match
171120,KR7171120009,2013-11-19,2022-09-02,TRANSITION,77.99,READY,,TRANSITION,86.6855,READY,77.99,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.503155,0.5,0.049751,0.272306,9.0,0.002384,0.016067,0.0,,0.029703,0.051185,1993.27,24.11,24.87,INVESTABLE,True,True
171120,KR7171120009,2013-11-19,2023-06-16,TRANSITION,79.67,READY,,TRANSITION,30.2414,READY,79.67,82.75,EVENT_OBSERVED,TRIGGER,0.306447,0.5,-0.076061,0.396141,6.0,0.009297,0.070297,1.0,0.196986,0.015,0.088636,2180.32,139.12,49.76,INVESTABLE,True,True
173130,KR7173130006,2018-08-24,2022-04-22,TRANSITION,77.32,READY,,TRANSITION,72.785,READY,77.32,81.79,EVENT_NOT_OBSERVED,TRIGGER,0.408946,0.583333,0.285034,,8.0,0.004225,0.005514,0.0,,0.013511,0.061758,668.93,54.21,19.84,FILTERED_MARKET_CAP,True,True
173130,KR7173130006,2018-08-24,2026-04-17,TRANSITION,70.29,READY,,TRANSITION,18.5578,READY,70.29,71.75,EVENT_NOT_OBSERVED,TRIGGER,0.296687,0.583333,0.002481,-0.059162,10.0,-0.002476,0.056547,0.0,,0.027431,0.05145,1054.16,12.17,9.9,INVESTABLE,True,True
173940,KR7173940008,2014-12-04,2020-01-03,TRANSITION,76.3,READY,,TRANSITION,67.8888,READY,76.3,75.25,EVENT_NOT_OBSERVED,TRIGGER,0.325231,0.333333,0.026222,-0.043526,9.0,0.000909,0.046504,0.0,,0.01182,0.02215,1236.82,0.96,0.92,FILTERED_LIQUIDITY,True,True
173940,KR7173940008,2014-12-04,2021-10-22,TRANSITION,79.67,READY,,TRANSITION,44.138,READY,79.67,82.75,EVENT_OBSERVED,TRIGGER,0.428571,0.583333,-0.009231,0.315252,7.0,0.01003,0.04179,1.0,0.160377,0.01359,0.079858,1387.65,26.93,9.76,INVESTABLE,True,True
173940,KR7173940008,2014-12-04,2023-06-30,TRANSITION,77.99,READY,,TRANSITION,69.5087,READY,77.99,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.54993,0.5,0.026283,0.253837,9.0,0.00866,0.052038,0.0,,0.024266,0.065854,1261.22,9.63,4.18,INVESTABLE,True,True
174900,KR7174900001,2017-09-18,2025-10-17,TRANSITION,79.67,READY,,TRANSITION,41.9084,READY,79.67,82.75,EVENT_OBSERVED,TRIGGER,0.765319,0.5,-0.078624,0.272485,7.0,0.002782,0.09376,2.0,0.068712,0.02359,0.074629,3579.93,53.27,25.01,INVESTABLE,True,True
175140,KR7175140003,2015-09-23,2019-09-06,TRANSITION,68.92,READY,,TRANSITION,17.9334,READY,68.92,75.25,EVENT_OBSERVED,TRIGGER,0.268293,0.5,-0.05178,-0.05275,8.0,0.001346,0.112193,10.0,-0.183267,0.025723,0.070453,531.53,4.78,9.33,FILTERED_MARKET_CAP,True,True
175140,KR7175140003,2015-09-23,2023-06-16,TRANSITION,75.74,READY,,TRANSITION,81.1079,READY,75.74,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.590253,0.666667,0.049526,0.276862,7.0,0.005614,0.07543,0.0,,0.024554,0.037077,1467.52,1.97,1.92,FILTERED_LIQUIDITY,True,True
