strategy_id,ticker,isu_cd,name,market,trade_id,trade_sequence,entry_signal_date,entry_signal_information_date,entry_execution_date,entry_open,entry_market_cap,market_cap_source,market_cap_anchor_date,entry_pattern_a_stage,fast_stage,fast_status,monthly_permission_state,daily_risk,fast_score,fast_score_status,hwm_price,mfe,mae,mfe_tier,max_hwm_drawdown_pct,soft_threshold_pct,hard_threshold_pct,fast_state_at_exit,exit_mfe_tier,exit_signal_date,exit_execution_date,exit_price,exit_reason,trade_status,final_valuation_date,final_valuation_price,unexecuted_exit_signal_date,unexecuted_exit_reason,terminal_return,holding_trading_days,identity_effective_from,identity_effective_to,종목명,매수일자,매수금액,매도일자,매도금액,수익률,보유일수,MFE,MAE,매도 사유
FASTCORE_V3_SIMPLE_V00,029460,KR7029460003,케이씨,KOSPI,FASTCORE_V3_SIMPLE_V00_029460_002,2,2025-05-30,2025-05-30,2025-06-02,22300.0,294395601750.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2025-05-30,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,75.74,READY,30650.0,37.44,-6.5,MFE_20_TO_50,-19.92,-10.0,-20.0,SETUP,MFE_20_TO_50,2025-10-17,2025-10-20,27500.0,SOFT_EXIT,REALIZED,2025-10-20,27500.0,,,23.32,93,2010-01-04,2026-08-21,케이씨,2025-06-02,22300.0,2025-10-20,27500.0,23.32,93,37.44,-6.5,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,029530,KR7029530003,신도리코,KOSPI,FASTCORE_V3_SIMPLE_V00_029530_001,1,2022-09-16,2022-09-16,2022-09-19,35800.0,353305016450.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2022-09-16,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,80.5,READY,45200.0,26.26,-13.41,MFE_20_TO_50,-14.75,-10.0,-20.0,SETUP,MFE_20_TO_50,2024-02-23,2024-02-26,39050.0,SOFT_EXIT,REALIZED,2024-02-26,39050.0,,,9.08,355,2010-01-04,2026-08-21,신도리코,2022-09-19,35800.0,2024-02-26,39050.0,9.08,355,26.26,-13.41,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,029530,KR7029530003,신도리코,KOSPI,FASTCORE_V3_SIMPLE_V00_029530_002,2,2024-03-22,2024-03-22,2024-03-25,42600.0,430417238300.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2024-03-22,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,80.74,READY,55000.0,29.11,-19.25,MFE_20_TO_50,-17.92,-10.0,-20.0,SETUP,MFE_20_TO_50,2025-08-01,2025-08-04,46500.0,SOFT_EXIT,REALIZED,2025-08-04,46500.0,,,9.15,331,2010-01-04,2026-08-21,신도리코,2024-03-25,42600.0,2025-08-04,46500.0,9.15,331,29.11,-19.25,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,029780,KR7029780004,삼성카드,KOSPI,FASTCORE_V3_SIMPLE_V00_029780_001,1,2023-11-17,2023-11-17,2023-11-20,33050.0,3823343403000.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2023-11-17,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,79.3,READY,41600.0,25.87,-5.45,MFE_20_TO_50,-13.22,-10.0,-20.0,SETUP,MFE_20_TO_50,2024-04-05,2024-04-08,36100.0,SOFT_EXIT,REALIZED,2024-04-08,36100.0,,,9.23,95,2010-01-04,2026-08-21,삼성카드,2023-11-20,33050.0,2024-04-08,36100.0,9.23,95,25.87,-5.45,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,029780,KR7029780004,삼성카드,KOSPI,FASTCORE_V3_SIMPLE_V00_029780_002,2,2024-04-26,2024-04-26,2024-04-29,38850.0,4443188469850.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2024-04-26,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.74,READY,59700.0,53.67,-5.28,MFE_50_TO_100,-18.09,-15.0,-25.0,SETUP,MFE_50_TO_100,2025-07-28,2025-07-29,48800.0,SOFT_EXIT,REALIZED,2025-07-29,48800.0,,,25.61,303,2010-01-04,2026-08-21,삼성카드,2024-04-29,38850.0,2025-07-29,48800.0,25.61,303,53.67,-5.28,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,029780,KR7029780004,삼성카드,KOSPI,FASTCORE_V3_SIMPLE_V00_029780_003,3,2026-02-27,2026-02-27,2026-03-03,63600.0,7299110133000.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2026-02-27,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,80.74,READY,63800.0,0.31,-30.74,BELOW_WINNER_MODE,-29.15,,,,,,,,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,2026-08-21,46150.0,,,-27.44,118,2010-01-04,2026-08-21,삼성카드,2026-03-03,63600.0,,,-27.44,118,0.31,-30.74,OPEN_AT_CUTOFF
FASTCORE_V3_SIMPLE_V00,029960,KR7029960002,코엔텍,KOSDAQ,FASTCORE_V3_SIMPLE_V00_029960_001,1,2021-07-09,2021-07-09,2021-07-12,9730.0,484500000000.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2021-07-09,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,82.05,READY,9880.0,1.54,-33.92,BELOW_WINNER_MODE,-34.21,,,,,,,,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,2026-08-21,8940.0,,,-8.12,949,2010-01-04,2025-06-13,코엔텍,2021-07-12,9730.0,,,-8.12,949,1.54,-33.92,OPEN_AT_CUTOFF
FASTCORE_V3_SIMPLE_V00,030000,KR7030000004,제일기획,KOSPI,FASTCORE_V3_SIMPLE_V00_030000_001,1,2021-06-04,2021-06-04,2021-06-07,24850.0,2841518257500.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2021-06-04,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,80.99,READY,26650.0,7.24,-34.0,BELOW_WINNER_MODE,-37.71,,,,,,,,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,2026-08-21,18900.0,,,-23.94,1276,2010-01-04,2026-08-21,제일기획,2021-06-07,24850.0,,,-23.94,1276,7.24,-34.0,OPEN_AT_CUTOFF
FASTCORE_V3_SIMPLE_V00,030200,KR7030200000,KT,KOSPI,FASTCORE_V3_SIMPLE_V00_030200_001,1,2021-07-02,2021-07-02,2021-07-05,31850.0,8303355494400.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2021-07-02,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,79.8,READY,39300.0,23.39,-7.54,MFE_20_TO_50,-15.62,-10.0,-20.0,SETUP,MFE_20_TO_50,2022-10-07,2022-10-11,34200.0,SOFT_EXIT,REALIZED,2022-10-11,34200.0,,,7.38,312,2010-01-04,2026-08-21,KT,2021-07-05,31850.0,2022-10-11,34200.0,7.38,312,23.39,-7.54,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,030200,KR7030200000,KT,KOSPI,FASTCORE_V3_SIMPLE_V00_030200_002,2,2023-10-06,2023-10-06,2023-10-10,33450.0,8483619004000.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2023-10-06,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.35,READY,42400.0,26.76,-3.89,MFE_20_TO_50,-12.03,-10.0,-20.0,SETUP,MFE_20_TO_50,2024-03-29,2024-04-01,38150.0,SOFT_EXIT,REALIZED,2024-04-01,38150.0,,,14.05,119,2010-01-04,2026-08-21,KT,2023-10-10,33450.0,2024-04-01,38150.0,14.05,119,26.76,-3.89,SOFT_EXIT
