signal_reference_date,required,available,source_provider,source_channel,source_role,requested_date,effective_date,date_resolution_status,raw_source_file,normalized_source_file,raw_sha256,normalized_sha256,source_and_normalized_identical_content,raw_row_count,normalized_row_count,source_status,authority_status,integrity_status
2022-08-05,True,True,KRX,KRX_DATA_MARKETPLACE_JSON_ENDPOINT,DERIVED_PROVIDER_RESPONSE_SNAPSHOT,2022-08-05,2022-08-05,EXACT_COMPLETED_WEEK,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220805.csv,artifacts/patterns/pattern_a/validation/investability_history/normalized/krx_market_cap_20220805.csv,f3c92b0570fd1143b426320d8cff00970c4f6ac19f5849672b1737eec5928e26,f3c92b0570fd1143b426320d8cff00970c4f6ac19f5849672b1737eec5928e26,True,2640,2640,CHECKPOINT_DERIVED_KRX_KDM_JSON,CHECKPOINT_ACCEPTED_NOT_FINAL_SOURCE_AUTHORITY,PASS
2022-08-12,True,True,KRX,KRX_DATA_MARKETPLACE_JSON_ENDPOINT,DERIVED_PROVIDER_RESPONSE_SNAPSHOT,2022-08-12,2022-08-12,EXACT_COMPLETED_WEEK,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220812.csv,artifacts/patterns/pattern_a/validation/investability_history/normalized/krx_market_cap_20220812.csv,fe0d9287da3cb05313bb0ef09ee293077218cc83a76e65fc3255b4149c5f9f4e,fe0d9287da3cb05313bb0ef09ee293077218cc83a76e65fc3255b4149c5f9f4e,True,2641,2641,CHECKPOINT_DERIVED_KRX_KDM_JSON,CHECKPOINT_ACCEPTED_NOT_FINAL_SOURCE_AUTHORITY,PASS
2022-08-19,True,True,KRX,KRX_DATA_MARKETPLACE_JSON_ENDPOINT,DERIVED_PROVIDER_RESPONSE_SNAPSHOT,2022-08-19,2022-08-19,EXACT_COMPLETED_WEEK,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220819.csv,artifacts/patterns/pattern_a/validation/investability_history/normalized/krx_market_cap_20220819.csv,b8e11667b2e119158757d66ca147b01f8bf403db5959e87ee0fcb0286cb80c0d,b8e11667b2e119158757d66ca147b01f8bf403db5959e87ee0fcb0286cb80c0d,True,2641,2641,CHECKPOINT_DERIVED_KRX_KDM_JSON,CHECKPOINT_ACCEPTED_NOT_FINAL_SOURCE_AUTHORITY,PASS
2022-08-26,True,True,KRX,KRX_DATA_MARKETPLACE_JSON_ENDPOINT,DERIVED_PROVIDER_RESPONSE_SNAPSHOT,2022-08-26,2022-08-26,EXACT_COMPLETED_WEEK,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220826.csv,artifacts/patterns/pattern_a/validation/investability_history/normalized/krx_market_cap_20220826.csv,67e3fe32096ca1984913e5481433ea30fa1980811c56344404925fa0fe09287c,67e3fe32096ca1984913e5481433ea30fa1980811c56344404925fa0fe09287c,True,2645,2645,CHECKPOINT_DERIVED_KRX_KDM_JSON,CHECKPOINT_ACCEPTED_NOT_FINAL_SOURCE_AUTHORITY,PASS
2022-09-02,True,True,KRX,KRX_DATA_MARKETPLACE_JSON_ENDPOINT,DERIVED_PROVIDER_RESPONSE_SNAPSHOT,2022-09-02,2022-09-02,EXACT_COMPLETED_WEEK,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220902.csv,artifacts/patterns/pattern_a/validation/investability_history/normalized/krx_market_cap_20220902.csv,a0153321d9d931a414927602b961d6b2fd90aadcf0a88c97d9b3531bdcba0130,a0153321d9d931a414927602b961d6b2fd90aadcf0a88c97d9b3531bdcba0130,True,2645,2645,CHECKPOINT_DERIVED_KRX_KDM_JSON,CHECKPOINT_ACCEPTED_NOT_FINAL_SOURCE_AUTHORITY,PASS
2022-09-16,True,True,KRX,KRX_DATA_MARKETPLACE_JSON_ENDPOINT,DERIVED_PROVIDER_RESPONSE_SNAPSHOT,2022-09-16,2022-09-16,EXACT_COMPLETED_WEEK,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220916.csv,artifacts/patterns/pattern_a/validation/investability_history/normalized/krx_market_cap_20220916.csv,deb98784c58f333594cd17357a0209d783cc88ef86a2b73f4657baee1f1ebe95,deb98784c58f333594cd17357a0209d783cc88ef86a2b73f4657baee1f1ebe95,True,2646,2646,CHECKPOINT_DERIVED_KRX_KDM_JSON,CHECKPOINT_ACCEPTED_NOT_FINAL_SOURCE_AUTHORITY,PASS
2022-09-23,True,True,KRX,KRX_DATA_MARKETPLACE_JSON_ENDPOINT,DERIVED_PROVIDER_RESPONSE_SNAPSHOT,2022-09-23,2022-09-23,EXACT_COMPLETED_WEEK,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220923.csv,artifacts/patterns/pattern_a/validation/investability_history/normalized/krx_market_cap_20220923.csv,9489314d8c08ea2d79b993221d1d13878174b18220076895833179dce5865eff,9489314d8c08ea2d79b993221d1d13878174b18220076895833179dce5865eff,True,2646,2646,CHECKPOINT_DERIVED_KRX_KDM_JSON,CHECKPOINT_ACCEPTED_NOT_FINAL_SOURCE_AUTHORITY,PASS
2022-10-21,True,True,KRX,KRX_DATA_MARKETPLACE_JSON_ENDPOINT,DERIVED_PROVIDER_RESPONSE_SNAPSHOT,2022-10-21,2022-10-21,EXACT_COMPLETED_WEEK,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20221021.csv,artifacts/patterns/pattern_a/validation/investability_history/normalized/krx_market_cap_20221021.csv,b88b9164c58c74795ad3d4889f4c6481716c1337bca5073d36d7ef50ab166594,b88b9164c58c74795ad3d4889f4c6481716c1337bca5073d36d7ef50ab166594,True,2662,2662,CHECKPOINT_DERIVED_KRX_KDM_JSON,CHECKPOINT_ACCEPTED_NOT_FINAL_SOURCE_AUTHORITY,PASS
2022-10-28,True,True,KRX,KRX_DATA_MARKETPLACE_JSON_ENDPOINT,DERIVED_PROVIDER_RESPONSE_SNAPSHOT,2022-10-28,2022-10-28,EXACT_COMPLETED_WEEK,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20221028.csv,artifacts/patterns/pattern_a/validation/investability_history/normalized/krx_market_cap_20221028.csv,22bab8ec7216c5bc925c98af10a7805f2fbcf646a758c94cc32e6d1369b29f77,22bab8ec7216c5bc925c98af10a7805f2fbcf646a758c94cc32e6d1369b29f77,True,2666,2666,CHECKPOINT_DERIVED_KRX_KDM_JSON,CHECKPOINT_ACCEPTED_NOT_FINAL_SOURCE_AUTHORITY,PASS
2022-11-25,True,True,KRX,KRX_DATA_MARKETPLACE_JSON_ENDPOINT,DERIVED_PROVIDER_RESPONSE_SNAPSHOT,2022-11-25,2022-11-25,EXACT_COMPLETED_WEEK,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20221125.csv,artifacts/patterns/pattern_a/validation/investability_history/normalized/krx_market_cap_20221125.csv,139bde9da4cec5c58c763102621afe411ed6f94f80a77127aca36e99128fe634,139bde9da4cec5c58c763102621afe411ed6f94f80a77127aca36e99128fe634,True,2676,2676,CHECKPOINT_DERIVED_KRX_KDM_JSON,CHECKPOINT_ACCEPTED_NOT_FINAL_SOURCE_AUTHORITY,PASS
