ticker,name,market,signal_reference_date,execution_candidate_date,pattern_a_stage,market_cap,avg_trading_value_20d,investability_status,market_cap_source_file,market_cap_sha256
008370,원풍,KOSDAQ,2025-08-01,2025-08-04,TRANSITION,,80657975.8,DATA_UNAVAILABLE,,
008370,원풍,KOSDAQ,2025-08-08,2025-08-11,TRANSITION,,78552863.85,DATA_UNAVAILABLE,,
008370,원풍,KOSDAQ,2025-08-22,2025-08-25,TRANSITION,,65645018.3,DATA_UNAVAILABLE,,
008370,원풍,KOSDAQ,2025-08-29,2025-09-01,TRANSITION,,59347354.8,DATA_UNAVAILABLE,,
008370,원풍,KOSDAQ,2025-09-05,2025-09-08,TRANSITION,,60650127.8,DATA_UNAVAILABLE,,
008370,원풍,KOSDAQ,2025-09-12,2025-09-15,TRANSITION,,54811592.05,DATA_UNAVAILABLE,,
008370,원풍,KOSDAQ,2025-09-19,2025-09-22,TRANSITION,,71608040.95,DATA_UNAVAILABLE,,
008370,원풍,KOSDAQ,2025-09-26,2025-09-29,TRANSITION,,92188943.3,DATA_UNAVAILABLE,,
008370,원풍,KOSDAQ,2025-10-10,2025-10-13,EARLY_TREND,,108459596.45,DATA_UNAVAILABLE,,
008370,원풍,KOSDAQ,2025-10-17,2025-10-20,EARLY_TREND,,122113053.65,DATA_UNAVAILABLE,,
008370,원풍,KOSDAQ,2025-10-24,2025-10-27,EARLY_TREND,,99443128.95,DATA_UNAVAILABLE,,
008370,원풍,KOSDAQ,2025-10-31,2025-11-03,EARLY_TREND,,81171947.35,DATA_UNAVAILABLE,,
008370,원풍,KOSDAQ,2025-11-07,2025-11-10,EARLY_TREND,,65328310.45,DATA_UNAVAILABLE,,
008370,원풍,KOSDAQ,2025-11-14,2025-11-17,EARLY_TREND,,52975170.5,DATA_UNAVAILABLE,,
008370,원풍,KOSDAQ,2025-11-21,2025-11-24,EARLY_TREND,,63078545.25,DATA_UNAVAILABLE,,
008370,원풍,KOSDAQ,2025-11-28,2025-12-01,EARLY_TREND,,52728123.25,DATA_UNAVAILABLE,,
008370,원풍,KOSDAQ,2025-12-05,2025-12-08,EARLY_TREND,,43076190.0,DATA_UNAVAILABLE,,
008370,원풍,KOSDAQ,2025-12-12,2025-12-15,EARLY_TREND,,45452209.0,DATA_UNAVAILABLE,,
008370,원풍,KOSDAQ,2025-12-19,2025-12-22,EARLY_TREND,,25656289.0,DATA_UNAVAILABLE,,
009780,엠에스씨,KOSDAQ,2025-05-09,2025-05-12,TRANSITION,,1280579364.25,DATA_UNAVAILABLE,,
009780,엠에스씨,KOSDAQ,2025-05-16,2025-05-19,TRANSITION,,2297522812.0,DATA_UNAVAILABLE,,
010240,흥국,KOSDAQ,2026-04-17,2026-04-20,TRANSITION,,243575586.5,DATA_UNAVAILABLE,,
010240,흥국,KOSDAQ,2026-04-24,2026-04-27,TRANSITION,,267549572.5,DATA_UNAVAILABLE,,
010240,흥국,KOSDAQ,2026-07-03,2026-07-06,TRANSITION,,108098415.75,DATA_UNAVAILABLE,,
010240,흥국,KOSDAQ,2026-07-10,2026-07-13,TRANSITION,,102127040.5,DATA_UNAVAILABLE,,
010280,아이티센엔텍,KOSDAQ,2025-05-02,2025-05-07,TRANSITION,,181234185.35,DATA_UNAVAILABLE,,
010280,아이티센엔텍,KOSDAQ,2025-05-16,2025-05-19,TRANSITION,,188718841.0,DATA_UNAVAILABLE,,
010280,아이티센엔텍,KOSDAQ,2025-05-23,2025-05-26,TRANSITION,,313937196.65,DATA_UNAVAILABLE,,
010280,아이티센엔텍,KOSDAQ,2025-05-30,2025-06-02,TRANSITION,,628946549.65,DATA_UNAVAILABLE,,
010280,아이티센엔텍,KOSDAQ,2025-06-13,2025-06-16,TRANSITION,,1166408524.8,DATA_UNAVAILABLE,,
011320,유니크,KOSDAQ,2025-11-21,2025-11-24,TRANSITION,,1192083075.1,DATA_UNAVAILABLE,,
011320,유니크,KOSDAQ,2025-11-28,2025-12-01,TRANSITION,,1202644351.1,DATA_UNAVAILABLE,,
011320,유니크,KOSDAQ,2025-12-05,2025-12-08,TRANSITION,,559081780.45,DATA_UNAVAILABLE,,
011320,유니크,KOSDAQ,2025-12-12,2025-12-15,TRANSITION,,476016020.8,DATA_UNAVAILABLE,,
011320,유니크,KOSDAQ,2025-12-19,2025-12-22,TRANSITION,,326439772.5,DATA_UNAVAILABLE,,
011320,유니크,KOSDAQ,2025-12-26,2025-12-29,TRANSITION,,383949347.0,DATA_UNAVAILABLE,,
011370,서한,KOSDAQ,2026-02-20,2026-02-23,TRANSITION,,555186244.9,DATA_UNAVAILABLE,,
011370,서한,KOSDAQ,2026-02-27,2026-03-03,EARLY_TREND,,846155590.8,DATA_UNAVAILABLE,,
011560,세보엠이씨,KOSDAQ,2025-06-20,2025-06-23,TRANSITION,,511551680.5,DATA_UNAVAILABLE,,
011560,세보엠이씨,KOSDAQ,2025-06-27,2025-06-30,TRANSITION,132362100000.0,853375552.75,INVESTABLE,artifacts/investability/history/source/krx_market_cap_20250627.csv,2ce977814ec85892eed7a4f3d4f8de7ad3ea6ee0119341c50595043eca4b2243
011560,세보엠이씨,KOSDAQ,2025-07-04,2025-07-07,EARLY_TREND,,963532698.5,DATA_UNAVAILABLE,,
011560,세보엠이씨,KOSDAQ,2025-07-11,2025-07-14,EARLY_TREND,,948439225.0,DATA_UNAVAILABLE,,
011560,세보엠이씨,KOSDAQ,2025-07-18,2025-07-21,EARLY_TREND,,875336770.75,DATA_UNAVAILABLE,,
011560,세보엠이씨,KOSDAQ,2025-07-25,2025-07-28,EARLY_TREND,,597751172.0,DATA_UNAVAILABLE,,
011560,세보엠이씨,KOSDAQ,2025-08-08,2025-08-11,EARLY_TREND,,475204483.25,DATA_UNAVAILABLE,,
011560,세보엠이씨,KOSDAQ,2025-08-29,2025-09-01,EARLY_TREND,,261851932.75,DATA_UNAVAILABLE,,
011560,세보엠이씨,KOSDAQ,2025-09-05,2025-09-08,EARLY_TREND,,224018061.75,DATA_UNAVAILABLE,,
011560,세보엠이씨,KOSDAQ,2025-09-12,2025-09-15,TRANSITION,,258837260.25,DATA_UNAVAILABLE,,
011560,세보엠이씨,KOSDAQ,2025-09-19,2025-09-22,TRANSITION,,350265792.5,DATA_UNAVAILABLE,,
011560,세보엠이씨,KOSDAQ,2025-09-26,2025-09-29,TRANSITION,,425605558.25,DATA_UNAVAILABLE,,
011560,세보엠이씨,KOSDAQ,2025-11-14,2025-11-17,EARLY_TREND,,546958231.75,DATA_UNAVAILABLE,,
011560,세보엠이씨,KOSDAQ,2025-11-21,2025-11-24,EARLY_TREND,,733254812.75,DATA_UNAVAILABLE,,
011560,세보엠이씨,KOSDAQ,2026-01-30,2026-02-02,TRANSITION,,881663465.0,DATA_UNAVAILABLE,,
