ticker,name,signal_reference_date,execution_candidate_date,pattern_a_stage
006730,서부T&D,2025-08-08,2025-08-11,EARLY_TREND
006730,서부T&D,2025-09-05,2025-09-08,EARLY_TREND
006730,서부T&D,2025-09-12,2025-09-15,EARLY_TREND
006910,보성파워텍,2025-08-22,2025-08-25,TRANSITION
006910,보성파워텍,2025-08-29,2025-09-01,TRANSITION
006910,보성파워텍,2025-09-12,2025-09-15,TRANSITION
006910,보성파워텍,2025-09-19,2025-09-22,TRANSITION
006910,보성파워텍,2025-10-10,2025-10-13,EARLY_TREND
006910,보성파워텍,2025-10-17,2025-10-20,EARLY_TREND
006910,보성파워텍,2025-10-24,2025-10-27,EARLY_TREND
006910,보성파워텍,2025-12-12,2025-12-15,EARLY_TREND
007330,푸른저축은행,2025-07-11,2025-07-14,TRANSITION
007330,푸른저축은행,2026-02-20,2026-02-23,TRANSITION
007530,와이엠,2025-09-12,2025-09-15,TRANSITION
007530,와이엠,2025-09-19,2025-09-22,TRANSITION
008370,원풍,2025-07-11,2025-07-14,TRANSITION
008370,원풍,2025-07-18,2025-07-21,TRANSITION
008370,원풍,2025-07-25,2025-07-28,TRANSITION
008370,원풍,2025-08-01,2025-08-04,TRANSITION
008370,원풍,2025-08-08,2025-08-11,TRANSITION
008370,원풍,2025-08-22,2025-08-25,TRANSITION
008370,원풍,2025-08-29,2025-09-01,TRANSITION
008370,원풍,2025-09-05,2025-09-08,TRANSITION
008370,원풍,2025-09-12,2025-09-15,TRANSITION
008370,원풍,2025-09-19,2025-09-22,TRANSITION
008370,원풍,2025-09-26,2025-09-29,TRANSITION
008370,원풍,2025-10-10,2025-10-13,EARLY_TREND
008370,원풍,2025-10-17,2025-10-20,EARLY_TREND
008370,원풍,2025-10-24,2025-10-27,EARLY_TREND
008370,원풍,2025-10-31,2025-11-03,EARLY_TREND
008370,원풍,2025-11-07,2025-11-10,EARLY_TREND
008370,원풍,2025-11-14,2025-11-17,EARLY_TREND
008370,원풍,2025-11-21,2025-11-24,EARLY_TREND
008370,원풍,2025-11-28,2025-12-01,EARLY_TREND
008370,원풍,2025-12-05,2025-12-08,EARLY_TREND
008370,원풍,2025-12-12,2025-12-15,EARLY_TREND
008370,원풍,2025-12-19,2025-12-22,EARLY_TREND
009780,엠에스씨,2025-05-09,2025-05-12,TRANSITION
009780,엠에스씨,2025-05-16,2025-05-19,TRANSITION
010240,흥국,2026-04-17,2026-04-20,TRANSITION
010240,흥국,2026-04-24,2026-04-27,TRANSITION
010240,흥국,2026-07-03,2026-07-06,TRANSITION
010240,흥국,2026-07-10,2026-07-13,TRANSITION
010280,아이티센엔텍,2025-05-02,2025-05-07,TRANSITION
010280,아이티센엔텍,2025-05-16,2025-05-19,TRANSITION
010280,아이티센엔텍,2025-05-23,2025-05-26,TRANSITION
010280,아이티센엔텍,2025-05-30,2025-06-02,TRANSITION
010280,아이티센엔텍,2025-06-13,2025-06-16,TRANSITION
011320,유니크,2025-11-21,2025-11-24,TRANSITION
011320,유니크,2025-11-28,2025-12-01,TRANSITION
011320,유니크,2025-12-05,2025-12-08,TRANSITION
011320,유니크,2025-12-12,2025-12-15,TRANSITION
011320,유니크,2025-12-19,2025-12-22,TRANSITION
011320,유니크,2025-12-26,2025-12-29,TRANSITION
011370,서한,2026-02-20,2026-02-23,TRANSITION
011370,서한,2026-02-27,2026-03-03,EARLY_TREND
011560,세보엠이씨,2025-06-20,2025-06-23,TRANSITION
011560,세보엠이씨,2025-06-27,2025-06-30,TRANSITION
011560,세보엠이씨,2025-07-04,2025-07-07,EARLY_TREND
011560,세보엠이씨,2025-07-11,2025-07-14,EARLY_TREND
011560,세보엠이씨,2025-07-18,2025-07-21,EARLY_TREND
011560,세보엠이씨,2025-07-25,2025-07-28,EARLY_TREND
011560,세보엠이씨,2025-08-08,2025-08-11,EARLY_TREND
011560,세보엠이씨,2025-08-29,2025-09-01,EARLY_TREND
011560,세보엠이씨,2025-09-05,2025-09-08,EARLY_TREND
011560,세보엠이씨,2025-09-12,2025-09-15,TRANSITION
011560,세보엠이씨,2025-09-19,2025-09-22,TRANSITION
011560,세보엠이씨,2025-09-26,2025-09-29,TRANSITION
011560,세보엠이씨,2025-11-14,2025-11-17,EARLY_TREND
011560,세보엠이씨,2025-11-21,2025-11-24,EARLY_TREND
011560,세보엠이씨,2026-01-30,2026-02-02,TRANSITION
011560,세보엠이씨,2026-02-13,2026-02-19,TRANSITION
012620,원일특강,2025-09-19,2025-09-22,TRANSITION
012620,원일특강,2026-02-20,2026-02-23,TRANSITION
012620,원일특강,2026-02-27,2026-03-03,TRANSITION
012620,원일특강,2026-04-03,2026-04-06,TRANSITION
012620,원일특강,2026-04-10,2026-04-13,TRANSITION
012620,원일특강,2026-04-17,2026-04-20,TRANSITION
012620,원일특강,2026-04-24,2026-04-27,TRANSITION
013030,하이록코리아,2026-04-10,2026-04-13,EARLY_TREND
013030,하이록코리아,2026-04-17,2026-04-20,EARLY_TREND
013030,하이록코리아,2026-04-24,2026-04-27,EARLY_TREND
013120,동원개발,2025-07-11,2025-07-14,TRANSITION
013120,동원개발,2025-07-18,2025-07-21,TRANSITION
013120,동원개발,2025-08-08,2025-08-11,TRANSITION
013120,동원개발,2026-02-20,2026-02-23,TRANSITION
013120,동원개발,2026-02-27,2026-03-03,TRANSITION
014620,성광벤드,2024-08-02,2024-08-05,EARLY_TREND
014620,성광벤드,2024-08-16,2024-08-19,EARLY_TREND
014620,성광벤드,2024-08-23,2024-08-26,EARLY_TREND
014620,성광벤드,2024-08-30,2024-09-02,EARLY_TREND
014620,성광벤드,2024-11-29,2024-12-02,EARLY_TREND
014620,성광벤드,2024-12-13,2024-12-16,EARLY_TREND
014620,성광벤드,2024-12-27,2024-12-30,EARLY_TREND
014940,오리엔탈정공,2024-11-29,2024-12-02,TRANSITION
014940,오리엔탈정공,2025-01-10,2025-01-13,EARLY_TREND
014940,오리엔탈정공,2025-01-17,2025-01-20,EARLY_TREND
014940,오리엔탈정공,2025-01-24,2025-01-31,EARLY_TREND
015750,성우하이텍,2025-12-12,2025-12-15,TRANSITION
015750,성우하이텍,2026-01-16,2026-01-19,TRANSITION
015750,성우하이텍,2026-02-20,2026-02-23,TRANSITION
015750,성우하이텍,2026-02-27,2026-03-03,TRANSITION
016250,SGC E&C,2026-02-20,2026-02-23,TRANSITION
016250,SGC E&C,2026-02-27,2026-03-03,TRANSITION
017650,대림제지,2025-07-18,2025-07-21,TRANSITION
017650,대림제지,2026-01-02,2026-01-05,TRANSITION
017650,대림제지,2026-01-09,2026-01-12,TRANSITION
017650,대림제지,2026-01-16,2026-01-19,TRANSITION
017650,대림제지,2026-02-27,2026-03-03,EARLY_TREND
017890,한국알콜,2025-07-04,2025-07-07,TRANSITION
017890,한국알콜,2025-07-11,2025-07-14,TRANSITION
017890,한국알콜,2025-07-18,2025-07-21,TRANSITION
017890,한국알콜,2025-07-25,2025-07-28,TRANSITION
017890,한국알콜,2025-11-28,2025-12-01,TRANSITION
017890,한국알콜,2025-12-05,2025-12-08,TRANSITION
017890,한국알콜,2025-12-12,2025-12-15,TRANSITION
017890,한국알콜,2025-12-19,2025-12-22,TRANSITION
017890,한국알콜,2025-12-26,2025-12-29,TRANSITION
017890,한국알콜,2026-01-02,2026-01-05,TRANSITION
017890,한국알콜,2026-01-09,2026-01-12,TRANSITION
017890,한국알콜,2026-01-30,2026-02-02,TRANSITION
017890,한국알콜,2026-02-06,2026-02-09,TRANSITION
017890,한국알콜,2026-02-13,2026-02-19,TRANSITION
017890,한국알콜,2026-02-20,2026-02-23,TRANSITION
017890,한국알콜,2026-04-10,2026-04-13,TRANSITION
017890,한국알콜,2026-04-17,2026-04-20,TRANSITION
017890,한국알콜,2026-04-24,2026-04-27,TRANSITION
017890,한국알콜,2026-07-03,2026-07-06,TRANSITION
017890,한국알콜,2026-07-10,2026-07-13,TRANSITION
018120,진로발효,2024-10-04,2024-10-07,TRANSITION
018120,진로발효,2024-10-11,2024-10-14,TRANSITION
018120,진로발효,2024-10-18,2024-10-21,TRANSITION
018120,진로발효,2024-10-25,2024-10-28,TRANSITION
018120,진로발효,2024-11-01,2024-11-04,TRANSITION
018120,진로발효,2024-11-08,2024-11-11,TRANSITION
018120,진로발효,2025-08-29,2025-09-01,TRANSITION
018120,진로발효,2025-09-05,2025-09-08,TRANSITION
018120,진로발효,2025-09-12,2025-09-15,TRANSITION
018120,진로발효,2025-09-19,2025-09-22,TRANSITION
018120,진로발효,2025-09-26,2025-09-29,TRANSITION
018310,삼목에스폼,2024-09-27,2024-09-30,TRANSITION
018310,삼목에스폼,2025-06-13,2025-06-16,TRANSITION
018310,삼목에스폼,2025-06-20,2025-06-23,TRANSITION
018310,삼목에스폼,2025-07-04,2025-07-07,TRANSITION
018310,삼목에스폼,2025-07-11,2025-07-14,TRANSITION
019210,와이지-원,2025-05-16,2025-05-19,TRANSITION
019210,와이지-원,2025-05-23,2025-05-26,TRANSITION
019210,와이지-원,2025-05-30,2025-06-02,TRANSITION
019210,와이지-원,2025-06-13,2025-06-16,TRANSITION
019210,와이지-원,2025-06-20,2025-06-23,TRANSITION
019210,와이지-원,2025-06-27,2025-06-30,TRANSITION
019210,와이지-원,2025-07-04,2025-07-07,TRANSITION
019210,와이지-원,2025-07-11,2025-07-14,TRANSITION
019540,일지테크,2026-01-16,2026-01-19,TRANSITION
019540,일지테크,2026-02-13,2026-02-19,EARLY_TREND
019550,SBI인베스트먼트,2026-02-20,2026-02-23,TRANSITION
021080,에이티넘인베스트,2026-02-20,2026-02-23,TRANSITION
021080,에이티넘인베스트,2026-02-27,2026-03-03,TRANSITION
021320,KCC건설,2025-05-30,2025-06-02,TRANSITION
021320,KCC건설,2025-07-11,2025-07-14,TRANSITION
021320,KCC건설,2025-07-18,2025-07-21,TRANSITION
021320,KCC건설,2026-02-13,2026-02-19,TRANSITION
021320,KCC건설,2026-02-20,2026-02-23,TRANSITION
021320,KCC건설,2026-02-27,2026-03-03,EARLY_TREND
021320,KCC건설,2026-03-20,2026-03-23,EARLY_TREND
021320,KCC건설,2026-04-17,2026-04-20,EARLY_TREND
021320,KCC건설,2026-04-24,2026-04-27,EARLY_TREND
023160,태광,2025-01-10,2025-01-13,TRANSITION
023160,태광,2025-01-17,2025-01-20,TRANSITION
023160,태광,2025-01-24,2025-01-31,TRANSITION
023160,태광,2025-01-31,2025-02-03,EARLY_TREND
023160,태광,2025-02-21,2025-02-24,EARLY_TREND
023410,유진기업,2026-01-30,2026-02-02,EARLY_TREND
023410,유진기업,2026-02-06,2026-02-09,EARLY_TREND
023410,유진기업,2026-02-13,2026-02-19,EARLY_TREND
023410,유진기업,2026-02-20,2026-02-23,EARLY_TREND
023410,유진기업,2026-02-27,2026-03-03,EARLY_TREND
023600,삼보판지,2025-06-13,2025-06-16,TRANSITION
023600,삼보판지,2025-06-20,2025-06-23,TRANSITION
023600,삼보판지,2025-06-27,2025-06-30,TRANSITION
023600,삼보판지,2025-07-04,2025-07-07,TRANSITION
023600,삼보판지,2025-07-11,2025-07-14,TRANSITION
023600,삼보판지,2025-07-18,2025-07-21,TRANSITION
023600,삼보판지,2025-07-25,2025-07-28,TRANSITION
023600,삼보판지,2026-02-20,2026-02-23,TRANSITION
023600,삼보판지,2026-02-27,2026-03-03,TRANSITION
023760,한국캐피탈,2025-05-16,2025-05-19,TRANSITION
023760,한국캐피탈,2025-05-23,2025-05-26,TRANSITION
023760,한국캐피탈,2025-05-30,2025-06-02,TRANSITION
023760,한국캐피탈,2025-06-13,2025-06-16,TRANSITION
023760,한국캐피탈,2025-06-20,2025-06-23,TRANSITION
023760,한국캐피탈,2025-06-27,2025-06-30,TRANSITION
023760,한국캐피탈,2025-07-04,2025-07-07,TRANSITION
023760,한국캐피탈,2025-07-11,2025-07-14,TRANSITION
023760,한국캐피탈,2026-02-13,2026-02-19,TRANSITION
023770,플레이위드,2024-09-13,2024-09-19,TRANSITION
023910,대한약품,2025-06-13,2025-06-16,TRANSITION
023910,대한약품,2025-06-20,2025-06-23,TRANSITION
023910,대한약품,2025-06-27,2025-06-30,TRANSITION
023910,대한약품,2025-07-04,2025-07-07,EARLY_TREND
023910,대한약품,2025-07-11,2025-07-14,EARLY_TREND
023910,대한약품,2025-07-18,2025-07-21,EARLY_TREND
023910,대한약품,2025-07-25,2025-07-28,EARLY_TREND
023910,대한약품,2025-08-01,2025-08-04,EARLY_TREND
023910,대한약품,2025-08-08,2025-08-11,EARLY_TREND
024740,한일단조,2024-11-01,2024-11-04,TRANSITION
024740,한일단조,2026-02-20,2026-02-23,TRANSITION
024800,유성티엔에스,2025-05-02,2025-05-07,TRANSITION
024800,유성티엔에스,2025-05-09,2025-05-12,TRANSITION
024800,유성티엔에스,2025-05-16,2025-05-19,TRANSITION
024800,유성티엔에스,2025-05-23,2025-05-26,TRANSITION
024800,유성티엔에스,2025-07-04,2025-07-07,EARLY_TREND
024800,유성티엔에스,2025-07-11,2025-07-14,EARLY_TREND
024800,유성티엔에스,2025-07-18,2025-07-21,EARLY_TREND
024800,유성티엔에스,2025-07-25,2025-07-28,EARLY_TREND
024840,KBI메탈,2026-02-27,2026-03-03,TRANSITION
024880,케이피에프,2025-07-04,2025-07-07,TRANSITION
024880,케이피에프,2025-07-11,2025-07-14,TRANSITION
024880,케이피에프,2025-07-18,2025-07-21,TRANSITION
024880,케이피에프,2025-07-25,2025-07-28,TRANSITION
024880,케이피에프,2025-08-08,2025-08-11,TRANSITION
024880,케이피에프,2025-08-29,2025-09-01,TRANSITION
024880,케이피에프,2025-09-05,2025-09-08,TRANSITION
024880,케이피에프,2025-09-12,2025-09-15,TRANSITION
024880,케이피에프,2025-09-19,2025-09-22,TRANSITION
024880,케이피에프,2025-10-10,2025-10-13,TRANSITION
024880,케이피에프,2025-10-24,2025-10-27,TRANSITION
024880,케이피에프,2025-11-28,2025-12-01,TRANSITION
024940,PN풍년,2024-10-04,2024-10-07,TRANSITION
024940,PN풍년,2024-10-11,2024-10-14,TRANSITION
024940,PN풍년,2024-10-18,2024-10-21,TRANSITION
024940,PN풍년,2024-10-25,2024-10-28,TRANSITION
025550,한국선재,2025-01-17,2025-01-20,TRANSITION
025880,케이씨피드,2024-10-11,2024-10-14,TRANSITION
025880,케이씨피드,2026-03-13,2026-03-16,TRANSITION
025880,케이씨피드,2026-04-17,2026-04-20,TRANSITION
025980,아난티,2025-05-02,2025-05-07,TRANSITION
025980,아난티,2025-05-09,2025-05-12,TRANSITION
025980,아난티,2025-05-16,2025-05-19,TRANSITION
025980,아난티,2025-05-23,2025-05-26,TRANSITION
025980,아난티,2025-05-30,2025-06-02,EARLY_TREND
026150,특수건설,2025-04-25,2025-04-28,TRANSITION
026150,특수건설,2025-05-02,2025-05-07,TRANSITION
026150,특수건설,2025-05-09,2025-05-12,TRANSITION
026150,특수건설,2025-05-16,2025-05-19,TRANSITION
026150,특수건설,2025-05-23,2025-05-26,TRANSITION
026150,특수건설,2025-06-13,2025-06-16,TRANSITION
026150,특수건설,2025-06-20,2025-06-23,TRANSITION
026150,특수건설,2026-02-06,2026-02-09,TRANSITION
026150,특수건설,2026-02-13,2026-02-19,TRANSITION
026150,특수건설,2026-02-20,2026-02-23,TRANSITION
027040,서울전자통신,2026-04-10,2026-04-13,TRANSITION
027710,팜스토리,2026-05-08,2026-05-11,TRANSITION
030520,한컴,2025-06-13,2025-06-16,TRANSITION
030520,한컴,2025-06-20,2025-06-23,TRANSITION
030530,원익홀딩스,2025-03-21,2025-03-24,TRANSITION
030530,원익홀딩스,2025-05-23,2025-05-26,EARLY_TREND
031330,에스에이엠티,2025-07-04,2025-07-07,TRANSITION
031330,에스에이엠티,2025-07-11,2025-07-14,TRANSITION
031330,에스에이엠티,2025-07-18,2025-07-21,TRANSITION
031330,에스에이엠티,2025-07-25,2025-07-28,TRANSITION
031330,에스에이엠티,2025-08-01,2025-08-04,TRANSITION
031330,에스에이엠티,2025-08-08,2025-08-11,TRANSITION
031330,에스에이엠티,2025-08-29,2025-09-01,TRANSITION
031330,에스에이엠티,2025-09-05,2025-09-08,TRANSITION
031330,에스에이엠티,2025-09-12,2025-09-15,TRANSITION
031330,에스에이엠티,2025-09-19,2025-09-22,TRANSITION
031330,에스에이엠티,2025-09-26,2025-09-29,TRANSITION
031330,에스에이엠티,2025-10-10,2025-10-13,EARLY_TREND
031330,에스에이엠티,2025-10-17,2025-10-20,EARLY_TREND
031330,에스에이엠티,2025-10-24,2025-10-27,EARLY_TREND
031330,에스에이엠티,2025-10-31,2025-11-03,EARLY_TREND
031330,에스에이엠티,2025-11-07,2025-11-10,EARLY_TREND
031330,에스에이엠티,2025-11-14,2025-11-17,EARLY_TREND
031980,피에스케이홀딩스,2025-10-10,2025-10-13,TRANSITION
031980,피에스케이홀딩스,2025-10-17,2025-10-20,TRANSITION
031980,피에스케이홀딩스,2026-01-16,2026-01-19,TRANSITION
032190,다우데이타,2025-07-04,2025-07-07,TRANSITION
032190,다우데이타,2025-07-11,2025-07-14,TRANSITION
032540,TJ미디어,2025-07-04,2025-07-07,TRANSITION
032540,TJ미디어,2025-07-11,2025-07-14,TRANSITION
032540,TJ미디어,2025-07-18,2025-07-21,TRANSITION
032540,TJ미디어,2025-07-25,2025-07-28,TRANSITION
032540,TJ미디어,2025-08-01,2025-08-04,TRANSITION
032540,TJ미디어,2025-08-08,2025-08-11,TRANSITION
032540,TJ미디어,2025-08-22,2025-08-25,TRANSITION
032540,TJ미디어,2025-08-29,2025-09-01,TRANSITION
032540,TJ미디어,2025-09-05,2025-09-08,TRANSITION
032540,TJ미디어,2025-09-12,2025-09-15,TRANSITION
032960,동일기연,2025-09-19,2025-09-22,TRANSITION
032960,동일기연,2025-09-26,2025-09-29,TRANSITION
033050,제이엠아이,2026-04-17,2026-04-20,TRANSITION
033050,제이엠아이,2026-04-24,2026-04-27,TRANSITION
033050,제이엠아이,2026-05-08,2026-05-11,TRANSITION
033100,제룡전기,2026-01-30,2026-02-02,TRANSITION
033130,디지틀조선,2026-01-02,2026-01-05,TRANSITION
033130,디지틀조선,2026-01-09,2026-01-12,TRANSITION
033130,디지틀조선,2026-01-16,2026-01-19,TRANSITION
033130,디지틀조선,2026-02-13,2026-02-19,TRANSITION
033130,디지틀조선,2026-02-20,2026-02-23,TRANSITION
033500,동성화인텍,2024-08-02,2024-08-05,TRANSITION
033500,동성화인텍,2024-08-09,2024-08-12,TRANSITION
033500,동성화인텍,2024-08-16,2024-08-19,TRANSITION
033500,동성화인텍,2025-01-10,2025-01-13,EARLY_TREND
033500,동성화인텍,2025-01-17,2025-01-20,EARLY_TREND
033500,동성화인텍,2025-01-24,2025-01-31,EARLY_TREND
033500,동성화인텍,2025-04-04,2025-04-07,EARLY_TREND
033500,동성화인텍,2025-04-11,2025-04-14,EARLY_TREND
033500,동성화인텍,2025-04-18,2025-04-21,EARLY_TREND
033500,동성화인텍,2025-04-25,2025-04-28,EARLY_TREND
033560,블루콤,2026-04-17,2026-04-20,TRANSITION
033560,블루콤,2026-06-19,2026-06-22,TRANSITION
033560,블루콤,2026-06-26,2026-06-29,TRANSITION
033560,블루콤,2026-07-10,2026-07-13,EARLY_TREND
033560,블루콤,2026-07-24,2026-07-27,EARLY_TREND
033640,네패스,2025-10-31,2025-11-03,TRANSITION
033640,네패스,2025-11-14,2025-11-17,TRANSITION
033790,피노,2026-04-10,2026-04-13,TRANSITION
034810,해성산업,2025-09-05,2025-09-08,TRANSITION
034810,해성산업,2025-09-19,2025-09-22,TRANSITION
034950,한국기업평가,2025-02-28,2025-03-04,TRANSITION
034950,한국기업평가,2025-03-07,2025-03-10,TRANSITION
034950,한국기업평가,2025-03-14,2025-03-17,TRANSITION
034950,한국기업평가,2025-03-21,2025-03-24,TRANSITION
034950,한국기업평가,2025-03-28,2025-03-31,TRANSITION
034950,한국기업평가,2025-04-04,2025-04-07,TRANSITION
034950,한국기업평가,2025-04-11,2025-04-14,TRANSITION
034950,한국기업평가,2025-07-04,2025-07-07,EARLY_TREND
034950,한국기업평가,2025-07-11,2025-07-14,EARLY_TREND
034950,한국기업평가,2025-07-18,2025-07-21,EARLY_TREND
034950,한국기업평가,2025-07-25,2025-07-28,EARLY_TREND
034950,한국기업평가,2025-08-01,2025-08-04,EARLY_TREND
034950,한국기업평가,2025-08-08,2025-08-11,EARLY_TREND
034950,한국기업평가,2025-08-22,2025-08-25,TRANSITION
034950,한국기업평가,2026-02-13,2026-02-19,TRANSITION
034950,한국기업평가,2026-02-20,2026-02-23,TRANSITION
034950,한국기업평가,2026-04-24,2026-04-27,TRANSITION
034950,한국기업평가,2026-05-08,2026-05-11,TRANSITION
035080,그래디언트,2025-05-23,2025-05-26,TRANSITION
035080,그래디언트,2025-05-30,2025-06-02,TRANSITION
035080,그래디언트,2025-07-11,2025-07-14,TRANSITION
035200,프럼파스트,2024-12-06,2024-12-09,TRANSITION
035200,프럼파스트,2024-12-13,2024-12-16,TRANSITION
035200,프럼파스트,2025-01-03,2025-01-06,TRANSITION
035200,프럼파스트,2025-01-17,2025-01-20,TRANSITION
035200,프럼파스트,2025-01-24,2025-01-31,TRANSITION
035200,프럼파스트,2025-01-31,2025-02-03,TRANSITION
035200,프럼파스트,2025-02-07,2025-02-10,TRANSITION
035200,프럼파스트,2025-02-14,2025-02-17,TRANSITION
035200,프럼파스트,2025-02-28,2025-03-04,TRANSITION
035200,프럼파스트,2025-03-28,2025-03-31,TRANSITION
035200,프럼파스트,2025-04-04,2025-04-07,EARLY_TREND
035460,기산텔레콤,2026-03-13,2026-03-16,TRANSITION
035460,기산텔레콤,2026-03-20,2026-03-23,TRANSITION
035460,기산텔레콤,2026-03-27,2026-03-30,TRANSITION
035600,KG이니시스,2025-07-11,2025-07-14,TRANSITION
035600,KG이니시스,2025-07-18,2025-07-21,TRANSITION
035600,KG이니시스,2026-02-20,2026-02-23,TRANSITION
035610,솔본,2026-07-24,2026-07-27,TRANSITION
035760,CJ ENM,2025-06-20,2025-06-23,TRANSITION
035760,CJ ENM,2025-08-22,2025-08-25,TRANSITION
035810,이지홀딩스,2025-04-18,2025-04-21,TRANSITION
035810,이지홀딩스,2025-04-25,2025-04-28,TRANSITION
035810,이지홀딩스,2025-07-04,2025-07-07,EARLY_TREND
035810,이지홀딩스,2025-07-11,2025-07-14,EARLY_TREND
035810,이지홀딩스,2025-07-18,2025-07-21,EARLY_TREND
035810,이지홀딩스,2025-09-05,2025-09-08,TRANSITION
035810,이지홀딩스,2025-11-14,2025-11-17,TRANSITION
035810,이지홀딩스,2025-11-21,2025-11-24,EARLY_TREND
035810,이지홀딩스,2026-01-02,2026-01-05,EARLY_TREND
035810,이지홀딩스,2026-01-09,2026-01-12,EARLY_TREND
035810,이지홀딩스,2026-01-16,2026-01-19,EARLY_TREND
035810,이지홀딩스,2026-01-23,2026-01-26,EARLY_TREND
035890,서희건설,2024-09-20,2024-09-23,TRANSITION
035890,서희건설,2024-09-27,2024-09-30,TRANSITION
035890,서희건설,2024-10-04,2024-10-07,TRANSITION
035890,서희건설,2024-10-11,2024-10-14,TRANSITION
035890,서희건설,2024-10-18,2024-10-21,TRANSITION
035890,서희건설,2024-11-29,2024-12-02,TRANSITION
035890,서희건설,2024-12-06,2024-12-09,TRANSITION
035890,서희건설,2024-12-13,2024-12-16,TRANSITION
035890,서희건설,2024-12-20,2024-12-23,TRANSITION
035890,서희건설,2024-12-27,2024-12-30,TRANSITION
035890,서희건설,2025-01-03,2025-01-06,TRANSITION
035890,서희건설,2025-04-18,2025-04-21,TRANSITION
035890,서희건설,2025-04-25,2025-04-28,TRANSITION
035890,서희건설,2025-07-04,2025-07-07,EARLY_TREND
035890,서희건설,2025-07-11,2025-07-14,EARLY_TREND
035890,서희건설,2025-07-18,2025-07-21,EARLY_TREND
036030,케이티알파,2025-07-11,2025-07-14,TRANSITION
036030,케이티알파,2025-07-18,2025-07-21,TRANSITION
036030,케이티알파,2025-08-22,2025-08-25,TRANSITION
