ticker,date,market,open,high,low,close,volume,trading_value,raw_shape,activity_class,legacy_class_label_qualified,inside_frozen_population,inside_common_lifecycle,current_raw_predicate,revised_confirmed_nontrading_predicate,potential_false_nontradable
099660,2011-09-06,KOSDAQ,0,0,0,19000,821,15599000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
007815,2011-09-14,KOSPI,0,0,0,1670,1130,1892750,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
002420,2011-09-22,KOSPI,0,0,0,30900,1,30950,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
005257,2011-10-07,KOSPI,0,0,0,12800,17,218450,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
078000,2011-10-11,KOSPI,0,0,0,7050,20,141000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
066690,2011-11-11,KOSDAQ,0,0,0,1005,1010,1015050,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
052350,2011-12-15,KOSDAQ,0,0,0,1455,17441,25376655,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
016385,2012-02-10,KOSPI,0,0,0,4225,10,43500,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
001795,2012-04-04,KOSPI,0,0,0,8580,1,8700,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
010460,2012-05-17,KOSPI,0,0,0,22350,4,89400,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
014300,2012-05-18,KOSPI,0,0,0,20700,497,10287900,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
082260,2012-05-22,KOSPI,0,0,0,4960,10000,49600000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
009380,2012-06-21,KOSPI,0,0,0,6130,5,30650,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
003460,2012-06-27,KOSPI,0,0,0,13150,1,13150,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
005725,2012-07-10,KOSPI,0,0,0,19500,1,19500,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
016385,2012-07-12,KOSPI,0,0,0,3140,6,19080,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
008975,2012-07-19,KOSPI,0,0,0,16100,1,16100,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
003945,2012-07-20,KOSPI,0,0,0,28900,1,28950,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
016385,2012-08-03,KOSPI,0,0,0,2975,22,66440,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
010460,2012-08-08,KOSPI,0,0,0,22300,5,111500,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
001689,2012-08-10,KOSPI,0,0,0,13000,4,52000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
002005,2012-10-02,KOSPI,0,0,0,13750,9,123750,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
000950,2012-10-04,KOSPI,0,0,0,23600,3,70800,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
016800,2012-10-22,KOSPI,0,0,0,27750,25,693750,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
001065,2012-10-26,KOSPI,0,0,0,12350,31,384400,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
009815,2012-10-26,KOSPI,0,0,0,500000,1,500000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
014285,2012-10-29,KOSPI,0,0,0,10050,150,1552500,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
007197,2012-11-13,KOSPI,0,0,0,2780,7,19530,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
090990,2012-11-26,KOSPI,0,0,0,4500,20,90000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
122350,2012-12-05,KOSDAQ,0,0,0,5010,990,4969800,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
005725,2012-12-20,KOSPI,0,0,0,20700,20488,424101600,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
090970,2012-12-24,KOSPI,0,0,0,4650,230,1069500,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
014285,2013-01-18,KOSPI,0,0,0,10500,1,10700,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
051905,2013-02-05,KOSPI,0,0,0,182500,850,155125000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
008720,2013-02-26,KOSPI,0,0,0,19000,24000,456000000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
003190,2013-03-21,KOSPI,0,0,0,1335,23370,31198950,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
004790,2013-03-21,KOSDAQ,0,0,0,446,4508,2010568,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
051710,2013-03-21,KOSDAQ,0,0,0,1205,500,602500,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
033550,2013-03-22,KOSDAQ,0,0,0,579,3,1737,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
040670,2013-03-22,KOSDAQ,0,0,0,717,593,425181,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
011720,2013-03-27,KOSPI,0,0,0,220,1,220,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
037630,2013-03-27,KOSDAQ,0,0,0,1645,109,179305,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
110310,2013-03-28,KOSDAQ,0,0,0,3230,2656,8578880,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
004105,2013-04-01,KOSPI,0,0,0,4735,12,56880,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
000075,2013-04-05,KOSPI,0,0,0,31200,1,31450,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
002005,2013-04-19,KOSPI,0,0,0,11000,1,11000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
149130,2013-04-29,KOSPI,0,0,0,3820,1,3820,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
082240,2013-05-03,KOSPI,0,0,0,4775,2500,11975000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
007595,2013-05-13,KOSPI,0,0,0,372000,1,373000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
012170,2013-05-21,KOSPI,0,0,0,1580,78,123240,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
090980,2013-05-21,KOSPI,0,0,0,4430,4,17720,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
091000,2013-05-22,KOSPI,0,0,0,4350,1121,4820300,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
090980,2013-05-23,KOSPI,0,0,0,4305,1694,7284200,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
090970,2013-05-30,KOSPI,0,0,0,4380,1359,5972805,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
090990,2013-06-03,KOSPI,0,0,0,4470,1681,7522475,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
001799,2013-06-04,KOSPI,0,0,0,25500,2,53800,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
049000,2013-06-12,KOSDAQ,0,0,0,639,82108,52467012,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
000725,2013-06-19,KOSPI,0,0,0,29350,1,29550,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
000075,2013-07-09,KOSPI,0,0,0,33900,1,32500,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
009275,2013-07-22,KOSPI,0,0,0,9300,74,700780,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
028305,2013-08-22,KOSDAQ,0,0,0,24900,1,25500,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
091000,2013-08-30,KOSPI,0,0,0,4340,510,2098650,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
001795,2013-09-25,KOSPI,0,0,0,12200,1,12300,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
001520,2013-09-30,KOSPI,0,0,0,813,10503,8538939,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
001529,2013-09-30,KOSPI,0,0,0,1395,581,810495,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
030790,2013-09-30,KOSPI,0,0,0,1085,6967,7559195,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
002000,2013-11-05,KOSPI,0,0,0,16300,1,16300,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
000885,2013-11-06,KOSPI,0,0,0,14400,1,14400,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
090355,2013-12-13,KOSPI,0,0,0,5140,9,46530,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
000227,2014-01-07,KOSPI,0,0,0,5770,1,5770,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
090435,2014-02-03,KOSPI,0,0,0,430000,5,2150000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
090970,2014-02-28,KOSPI,0,0,0,4180,356,1484520,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
090970,2014-04-02,KOSPI,0,0,0,4250,2,8500,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
090990,2014-04-22,KOSPI,0,0,0,4270,665,2826250,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
001000,2014-05-07,KOSDAQ,0,0,0,4675,50,234750,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
056340,2014-05-08,KOSDAQ,0,0,0,96,191,18336,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
145995,2014-05-08,KOSPI,0,0,0,28500,1,28950,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
003535,2014-06-25,KOSPI,0,0,0,1900,13,24700,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
090970,2014-12-19,KOSPI,0,0,0,4450,1,4450,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
008830,2015-01-05,KOSDAQ,0,0,0,18500,1,18700,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
082250,2015-01-16,KOSPI,0,0,0,5000,10000,50000000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
082240,2015-01-27,KOSPI,0,0,0,5000,10000,50000000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
090980,2015-04-21,KOSPI,0,0,0,5160,4,20640,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
053870,2015-08-17,KOSDAQ,0,0,0,1220,5234,6385480,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
091000,2015-09-01,KOSPI,0,0,0,5030,303,1524090,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
090970,2015-09-18,KOSPI,0,0,0,5030,316,1580000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
016380,2016-02-16,KOSPI,0,0,0,2500,437,1092500,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
016385,2016-02-16,KOSPI,0,0,0,3620,131,474220,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
015540,2016-03-25,KOSPI,0,0,0,1700,5161,8773700,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
083620,2016-10-26,KOSPI,0,0,0,5030,13130,66043900,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
083610,2017-01-31,KOSPI,0,0,0,5000,940,4700000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
215100,2017-06-12,KOSDAQ,0,0,0,2135,2,4270,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,False,True,False,True
060570,2017-07-17,KOSDAQ,0,0,0,5420,12771,69218820,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
047810,2017-10-11,KOSPI,0,0,0,47700,141,6725700,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
056730,2019-02-11,KOSDAQ,0,0,0,1460,60795,88760700,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
270520,2019-05-29,KOSDAQ,0,0,0,2085,58500,122265000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,False,True,False,True
310200,2019-05-29,KOSDAQ,0,0,0,2230,67503,150531690,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,False,True,False,True
033790,2020-01-28,KOSDAQ,0,0,0,829,401,332429,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
349720,2020-10-07,KOSDAQ,0,0,0,1995,147946,288494700,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
141070,2021-02-01,KOSDAQ,0,0,0,1365,177,241605,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
336570,2021-10-14,KOSDAQ,0,0,0,2675,78,208650,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,False,True,False,True
215090,2022-02-09,KOSDAQ,0,0,0,1505,1911,2876055,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
089530,2023-04-24,KOSDAQ,0,0,0,600,120,72000,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
001527,2024-03-28,KOSPI,0,0,0,11480,2,23060,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,False,False,True,False,True
145210,2025-03-21,KOSPI,0,0,0,1126,1015,1142890,ZERO_OHL_POSITIVE_CLOSE,ACTIVITY_PRESENT,CLASS_D_V_POSITIVE_TV_POSITIVE,True,True,True,False,True
