ticker,date,naver_open,naver_high,naver_low,naver_close,naver_volume,raw_open,raw_high,raw_low,raw_close,raw_volume,raw_trading_value,raw_activity_class,confirmed_nontrading,source_action
002840,2014-04-01,25253.0,25253.0,25253.0,25254.0,0.0,0,0,0,172000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2014-04-03,5168.0,5168.0,5168.0,5169.0,0.0,0,0,0,27000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2014-04-11,5235.0,5235.0,5235.0,5236.0,0.0,0,0,0,27350,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2014-04-17,5043.0,5043.0,5043.0,5045.0,0.0,0,0,0,26350,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002840,2014-04-22,25839.0,25839.0,25839.0,25841.0,0.0,0,0,0,176000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2014-04-30,5043.0,5043.0,5043.0,5045.0,0.0,0,0,0,26350,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2014-05-02,5043.0,5043.0,5043.0,5045.0,0.0,0,0,0,26350,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2014-05-21,4976.0,4976.0,4976.0,4978.0,0.0,0,0,0,26000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2014-05-22,4976.0,4976.0,4976.0,4978.0,0.0,0,0,0,26000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002840,2014-06-05,25839.0,25839.0,25839.0,25841.0,0.0,0,0,0,176000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002840,2014-06-12,25253.0,25253.0,25253.0,25254.0,0.0,0,0,0,172000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002840,2014-06-13,25253.0,25253.0,25253.0,25254.0,0.0,0,0,0,172000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002840,2014-07-24,24517.0,24517.0,24517.0,24520.0,0.0,0,0,0,167000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002840,2014-10-07,25912.0,25912.0,25912.0,25915.0,0.0,0,0,0,176500,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002840,2014-10-29,25545.0,25545.0,25545.0,25548.0,0.0,0,0,0,174000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002840,2014-10-30,25545.0,25545.0,25545.0,25548.0,0.0,0,0,0,174000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002840,2014-11-13,23710.0,23710.0,23710.0,23712.0,0.0,0,0,0,161500,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002840,2014-11-14,23710.0,23710.0,23710.0,23712.0,0.0,0,0,0,161500,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002840,2014-11-17,23710.0,23710.0,23710.0,23712.0,0.0,0,0,0,161500,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002840,2014-11-18,23710.0,23710.0,23710.0,23712.0,0.0,0,0,0,161500,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002840,2014-11-19,23710.0,23710.0,23710.0,23712.0,0.0,0,0,0,161500,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002840,2014-11-25,23416.0,23416.0,23416.0,23419.0,0.0,0,0,0,159500,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002840,2014-11-26,23416.0,23416.0,23416.0,23419.0,0.0,0,0,0,159500,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002840,2014-11-28,23416.0,23416.0,23416.0,23419.0,0.0,0,0,0,159500,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002840,2014-12-12,23196.0,23196.0,23196.0,23198.0,0.0,0,0,0,158000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002840,2014-12-16,23196.0,23196.0,23196.0,23198.0,0.0,0,0,0,158000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
