date,strategy_id,valuation_basis_date,cash,pending_sale_proceeds,invested_market_value,equity,drawdown,exposure,cash_ratio,open_positions,valuation_is_execution_support_only
2024-03-07,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-03-07,529542.4150910862,0.0,189877749.0,190407291.4150911,-0.14329256008687052,0.9972188963397589,0.002781103660241008,35,False
2024-03-08,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-03-08,529542.4150910862,0.0,191374810.0,191904352.4150911,-0.1365567713091823,0.9972405919489221,0.0027594080510778642,35,False
2024-03-11,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-03-11,529542.4150910862,0.0,190595154.0,191124696.4150911,-0.14006470995380482,0.9972293354808475,0.0027706645191525013,35,False
2024-03-12,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-03-12,529542.4150910862,0.0,190040054.0,190569596.4150911,-0.14256229445470014,0.9972212649601373,0.0027787350398625916,35,False
2024-03-13,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-03-13,529542.4150910862,0.0,192728726.0,193258268.4150911,-0.1304650407793424,0.9972599236274139,0.002740076372586061,35,False
2024-03-14,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-03-14,529542.4150910862,0.0,196065587.0,196595129.4150911,-0.11545136339645312,0.9973064316666105,0.0026935683333894297,35,False
2024-03-15,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-03-15,529542.4150910862,0.0,193892371.0,194421913.4150911,-0.1252294044677873,0.9972763234051683,0.002723676594831737,35,False
2024-03-18,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-03-18,529542.4150910862,0.0,193145305.0,193674847.4150911,-0.12859070957091434,0.9972658173110308,0.0027341826889691633,35,False
2024-03-19,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-03-19,529542.4150910862,0.0,191093743.0,191623285.4150911,-0.1378213877439024,0.9972365445360984,0.0027634554639014795,35,False
2024-03-20,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-03-20,529542.4150910862,0.0,191292234.0,191821776.4150911,-0.13692830893798058,0.9972394040708642,0.0027605959291357378,35,False
2024-03-21,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-03-21,529542.4150910862,0.0,195339845.0,195869387.4150911,-0.11871672454011861,0.997296451364455,0.0027035486355449063,35,False
2024-03-22,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-03-22,529542.4150910862,0.0,194337504.0,194867046.4150911,-0.12322659906040667,0.9972825450745371,0.002717454925462845,35,False
2024-03-25,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-03-25,529542.4150910862,0.0,194386485.0,194916027.4150911,-0.12300621681137336,0.9972832279514737,0.002716772048526201,35,False
2024-03-26,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-03-26,529542.4150910862,0.0,195026808.0,195556350.4150911,-0.12012518492456603,0.9972921236565978,0.002707876343402149,35,False
2024-03-27,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-03-27,529542.4150910862,0.0,193076595.0,193606137.4150911,-0.12889985932961823,0.9972648469611489,0.002735153038850977,35,False
2024-03-28,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-03-28,529542.4150910862,0.0,191987447.0,192516989.4150911,-0.13380030819285194,0.9972493730724755,0.002750626927524435,35,False
2024-03-29,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-03-29,529542.4150910862,0.0,190214965.0,190744507.4150911,-0.14177531012280298,0.9972238130352098,0.002776186964790109,35,False
2024-04-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-04-01,529542.4150910862,0.0,189798759.0,190328301.4150911,-0.1436479630768286,0.9972177421268726,0.0027822578731273163,35,False
2024-04-02,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-04-02,529542.4150910862,0.0,188327307.0,188856849.4150911,-0.15026852821646353,0.9971960645497839,0.0028039354502160394,35,False
2024-04-03,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-04-03,529542.4150910862,0.0,186135735.0,186665277.4150911,-0.16012915920150406,0.997163144520373,0.002836855479626951,35,False
2024-04-04,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-04-04,529542.4150910862,0.0,187716235.0,188245777.4150911,-0.1530179498632498,0.9971869625849645,0.002813037415035448,35,False
2024-04-05,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-04-05,529542.4150910862,0.0,186245468.0,186775010.4150911,-0.1596354329539149,0.9971648112136937,0.0028351887863061797,35,False
2024-04-08,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-04-08,529542.4150910862,0.0,187424355.0,187953897.4150911,-0.1543312176782765,0.9971825941234854,0.0028174058765145266,35,False
2024-04-09,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-04-09,529542.4150910862,0.0,186431916.0,186961458.4150911,-0.15879653971842056,0.9971676386161077,0.002832361383892279,35,False
2024-04-11,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-04-11,529542.4150910862,0.0,184748945.0,185278487.4150911,-0.16636880108584295,0.9971419109553462,0.002858089044653732,35,False
2024-04-12,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-04-12,529542.4150910862,0.0,182254047.0,182783589.4150911,-0.17759419934942533,0.99710289957219,0.002897100427809882,35,False
2024-04-15,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-04-15,529542.4150910862,0.0,183183094.0,183712636.4150911,-0.1734140995695601,0.9971175504014073,0.002882449598592701,35,False
2024-04-16,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-04-16,529542.4150910862,4113437.52492,176040289.0,180683268.94001108,-0.18704425855582563,0.9743032104342068,0.025696789565793215,34,False
2024-04-17,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-04-17,4642979.940011086,0.0,174434185.0,179077164.94001108,-0.19427066903542556,0.9740727415381719,0.025927258461828084,34,False
2024-04-18,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-04-18,4642979.940011086,0.0,176970920.0,181613899.94001108,-0.18285703181892665,0.9744348866383866,0.025565113361613344,34,False
2024-04-19,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-04-19,4642979.940011086,0.0,175468963.0,180111942.94001108,-0.18961484937290096,0.9742216986601633,0.02577830133983674,34,False
2024-04-22,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-04-22,4642979.940011086,0.0,180340536.0,184983515.94001108,-0.16769597850318407,0.9749005747003059,0.025099425299694125,34,False
