panel,comparison,first,second,first_n,second_n,mean_return_first,mean_return_second,mean_return_diff,mean_return_favorable,median_return_first,median_return_second,median_return_diff,median_return_favorable,ge_50_rate_pct_first,ge_50_rate_pct_second,ge_50_rate_pct_diff,ge_50_rate_pct_favorable,ge_100_rate_pct_first,ge_100_rate_pct_second,ge_100_rate_pct_diff,ge_100_rate_pct_favorable,le_neg_30_rate_pct_first,le_neg_30_rate_pct_second,le_neg_30_rate_pct_diff,le_neg_30_rate_pct_favorable,le_neg_50_rate_pct_first,le_neg_50_rate_pct_second,le_neg_50_rate_pct_diff,le_neg_50_rate_pct_favorable,le_neg_60_rate_pct_first,le_neg_60_rate_pct_second,le_neg_60_rate_pct_diff,le_neg_60_rate_pct_favorable,positive_rate_pct_diff,ge_30_rate_pct_diff,le_neg_15_rate_pct_diff,le_neg_40_rate_pct_diff,return_auc,return_auc_effect,favorable,unfavorable,tier,loss_30_count,loss_50_count,deep_loss_generalizable
SIMPLE_P2-2,A_vs_B,FIRST_PROGRESSED_NORMAL,LATE_NORMALIZED,590,73,49.5396,85.0227,-35.4831,UNFAVORABLE,31.87,69.85,-37.98,UNFAVORABLE,38.3051,64.3836,-26.0785,UNFAVORABLE,14.4068,38.3562,-23.9494,UNFAVORABLE,1.6949,6.8493,-5.1544,FAVORABLE,0.1695,4.1096,-3.9401,FAVORABLE,0.1695,0.0,0.1695,UNFAVORABLE,1.7343,-21.2607,-2.1453,-2.9232,0.362,-0.138,2,5,EVALUABLE,15,4,False
SIMPLE_P2-2,A_vs_C,FIRST_PROGRESSED_NORMAL,NEVER_NORMALIZED_COVERAGE,590,1754,49.5396,-9.1895,58.7291,FAVORABLE,31.87,-15.74,47.61,FAVORABLE,38.3051,3.5918,34.7133,FAVORABLE,14.4068,1.1973,13.2095,FAVORABLE,1.6949,2.3945,-0.6996,FAVORABLE,0.1695,1.0262,-0.8567,FAVORABLE,0.1695,0.6842,-0.5147,FAVORABLE,69.3848,47.1817,-60.7417,-0.3529,0.8713,0.3713,7,0,EVALUABLE,52,19,True
SIMPLE_P3-1,A_vs_C1,FIRST_PROGRESSED_NORMAL,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,156,87,50.0386,27.2631,22.7755,FAVORABLE,37.53,25.03,12.5,FAVORABLE,42.3077,26.4368,15.8709,FAVORABLE,14.1026,8.046,6.0566,FAVORABLE,1.9231,10.3448,-8.4217,FAVORABLE,0.0,5.7471,-5.7471,FAVORABLE,0.0,3.4483,-3.4483,FAVORABLE,24.0937,12.091,-13.6384,-7.2723,0.6179,0.1179,7,0,EVALUABLE,12,5,True
SIMPLE_P3-1,B_vs_C1,LATE_NORMALIZED,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,4,87,37.0575,27.2631,9.7944,FAVORABLE,51.195,25.03,26.165,FAVORABLE,50.0,26.4368,23.5632,FAVORABLE,0.0,8.046,-8.046,UNFAVORABLE,0.0,10.3448,-10.3448,FAVORABLE,0.0,5.7471,-5.7471,FAVORABLE,0.0,3.4483,-3.4483,FAVORABLE,10.6322,31.3218,-20.6897,-9.1954,0.6264,0.1264,6,1,COUNTS_ONLY,9,5,False
SIMPLE_P3-1,A_vs_B,FIRST_PROGRESSED_NORMAL,LATE_NORMALIZED,156,4,50.0386,37.0575,12.9811,FAVORABLE,37.53,51.195,-13.665,UNFAVORABLE,42.3077,50.0,-7.6923,UNFAVORABLE,14.1026,0.0,14.1026,FAVORABLE,1.9231,0.0,1.9231,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,13.4615,-19.2308,7.0513,1.9231,0.5176,0.0176,2,3,COUNTS_ONLY,3,0,False
SIMPLE_P3-1,A_vs_C,FIRST_PROGRESSED_NORMAL,NEVER_NORMALIZED_COVERAGE,156,1013,50.0386,-6.9383,56.9769,FAVORABLE,37.53,-15.54,53.07,FAVORABLE,42.3077,3.7512,38.5565,FAVORABLE,14.1026,0.7897,13.3129,FAVORABLE,1.9231,1.8756,0.0475,UNFAVORABLE,0.0,0.691,-0.691,FAVORABLE,0.0,0.3949,-0.3949,FAVORABLE,68.5207,48.3654,-57.5094,0.8372,0.8712,0.3712,6,1,EVALUABLE,22,7,True
SIMPLE_P3-2,A_vs_C1,FIRST_PROGRESSED_NORMAL,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,354,151,62.9507,30.7618,32.1889,FAVORABLE,49.87,24.11,25.76,FAVORABLE,49.7175,31.7881,17.9294,FAVORABLE,18.9266,11.2583,7.6683,FAVORABLE,2.2599,11.2583,-8.9984,FAVORABLE,0.0,4.6358,-4.6358,FAVORABLE,0.0,3.3113,-3.3113,FAVORABLE,14.7323,17.776,-8.5494,-7.1969,0.6286,0.1286,7,0,EVALUABLE,25,7,True
SIMPLE_P3-2,B_vs_C1,LATE_NORMALIZED,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,28,151,88.6186,30.7618,57.8568,FAVORABLE,78.115,24.11,54.005,FAVORABLE,67.8571,31.7881,36.069,FAVORABLE,39.2857,11.2583,28.0274,FAVORABLE,3.5714,11.2583,-7.6869,FAVORABLE,0.0,4.6358,-4.6358,FAVORABLE,0.0,3.3113,-3.3113,FAVORABLE,11.282,34.2005,-8.7511,-8.6093,0.7168,0.2168,7,0,EVALUABLE,18,7,True
SIMPLE_P3-2,A_vs_B,FIRST_PROGRESSED_NORMAL,LATE_NORMALIZED,354,28,62.9507,88.6186,-25.6679,UNFAVORABLE,49.87,78.115,-28.245,UNFAVORABLE,49.7175,67.8571,-18.1396,UNFAVORABLE,18.9266,39.2857,-20.3591,UNFAVORABLE,2.2599,3.5714,-1.3115,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,3.4503,-16.4245,0.2017,1.4124,0.3875,-0.1125,1,4,EVALUABLE,9,0,False
SIMPLE_P3-2,A_vs_C,FIRST_PROGRESSED_NORMAL,NEVER_NORMALIZED_COVERAGE,354,1410,62.9507,-9.4186,72.3693,FAVORABLE,49.87,-15.71,65.58,FAVORABLE,49.7175,3.8298,45.8877,FAVORABLE,18.9266,1.2766,17.65,FAVORABLE,2.2599,1.9858,0.2741,UNFAVORABLE,0.0,0.5674,-0.5674,FAVORABLE,0.0,0.3546,-0.3546,FAVORABLE,73.2528,56.4731,-61.3079,0.2067,0.8912,0.3912,6,1,EVALUABLE,36,8,True
