panel,group,panel_n,trades,mean_return,median_return,q25_return,q75_return,positive_rate_pct,ge_30_count,ge_30_rate_pct,ge_50_count,ge_50_rate_pct,ge_100_count,ge_100_rate_pct,le_neg_15_count,le_neg_15_rate_pct,le_neg_30_count,le_neg_30_rate_pct,le_neg_40_count,le_neg_40_rate_pct,le_neg_50_count,le_neg_50_rate_pct,le_neg_60_count,le_neg_60_rate_pct,open_at_cutoff_rate_pct,closed_rate_pct,holding_days_mean,holding_days_median,mfe_mean,mfe_median,mae_mean,mae_median,peak_giveback_mean,peak_giveback_median,exit_type_mix,open_at_cutoff_count
REALISTIC_P2-1_ELIGIBLE,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,355,42,20.5752,21.65,-14.355,37.8375,64.2857,16,38.0952,9,21.4286,2,4.7619,7,16.6667,6,14.2857,2,4.7619,0,0.0,0,0.0,50.0,50.0,447.5714,294.5,54.775,48.845,-18.8183,-15.02,34.1998,25.125,NO_EXIT_BEFORE_CUTOFF=50.0%; EXIT4_SCORE_DRAWDOWN_GE_15=50.0%,21
REALISTIC_P2-1_ELIGIBLE,C2_NO_PROGRESSED_WHILE_HELD,355,237,-9.0302,-15.6,-16.7,-14.63,16.4557,13,5.4852,7,2.9536,0,0.0,163,68.7764,2,0.8439,0,0.0,0,0.0,0,0.0,16.8776,83.1224,104.8397,57.0,15.7588,9.06,-16.166,-16.63,24.789,20.82,LOSS_GUARD_CLOSE_LE_NEG_15=83.1%; NO_PROGRESSED_BEFORE_CUTOFF=16.9%,40
REALISTIC_P2-1_FILLED,FIRST_PROGRESSED_NORMAL,199,32,36.1631,23.46,13.6625,35.1225,90.625,9,28.125,7,21.875,4,12.5,1,3.125,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,155.3125,133.0,65.8403,48.705,-8.0906,-7.78,29.6772,21.85,EXIT4_SCORE_DRAWDOWN_GE_15=90.6%; EXIT3_PROGRESSED_TO_TRANSITION=9.4%,0
REALISTIC_P2-1_FILLED,LATE_NORMALIZED,199,6,81.085,54.47,48.5925,95.8375,100.0,5,83.3333,3,50.0,2,33.3333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33.3333,66.6667,816.5,947.5,145.8733,96.845,-15.5833,-12.38,64.7883,15.395,EXIT4_SCORE_DRAWDOWN_GE_15=50.0%; NO_EXIT_BEFORE_CUTOFF=33.3%; EXIT3_PROGRESSED_TO_WEAK=16.7%,2
REALISTIC_P2-1_FILLED,NEVER_NORMALIZED_COVERAGE,199,161,-6.0324,-15.34,-16.6,-12.91,22.3602,14,8.6957,7,4.3478,2,1.2422,100,62.1118,5,3.1056,1,0.6211,0,0.0,0,0.0,22.3602,77.6398,149.2795,62.0,18.9843,10.28,-16.7402,-16.59,25.0168,20.78,LOSS_GUARD_CLOSE_LE_NEG_15=72.7%; NO_PROGRESSED_BEFORE_CUTOFF=16.8%; NO_EXIT_BEFORE_CUTOFF=5.6%; EXIT4_SCORE_DRAWDOWN_GE_15=5.0%,36
REALISTIC_P2-1_FILLED,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,199,17,17.4371,11.89,-14.56,35.26,58.8235,6,35.2941,3,17.6471,2,11.7647,3,17.6471,3,17.6471,1,5.8824,0,0.0,0,0.0,52.9412,47.0588,524.0588,320.0,49.6153,36.87,-23.5418,-17.18,32.1782,22.72,NO_EXIT_BEFORE_CUTOFF=52.9%; EXIT4_SCORE_DRAWDOWN_GE_15=47.1%,9
REALISTIC_P2-1_FILLED,C2_NO_PROGRESSED_WHILE_HELD,199,144,-8.8031,-15.565,-16.64,-14.4725,18.0556,8,5.5556,4,2.7778,0,0.0,97,67.3611,2,1.3889,0,0.0,0,0.0,0,0.0,18.75,81.25,105.0347,53.0,15.3682,9.055,-15.9372,-16.58,24.1713,20.625,LOSS_GUARD_CLOSE_LE_NEG_15=81.2%; NO_PROGRESSED_BEFORE_CUTOFF=18.8%,27
REALISTIC_P2-2_ELIGIBLE,FIRST_PROGRESSED_NORMAL,485,133,55.3514,44.69,11.37,79.84,84.2105,70,52.6316,61,45.8647,24,18.0451,7,5.2632,1,0.7519,1,0.7519,0,0.0,0,0.0,6.7669,93.2331,187.7669,151.0,99.5365,71.28,-9.5674,-9.37,44.1852,27.79,EXIT4_SCORE_DRAWDOWN_GE_15=83.5%; EXIT3_PROGRESSED_TO_TRANSITION=6.8%; NO_EXIT_BEFORE_CUTOFF=6.8%; EXIT3_PROGRESSED_TO_WEAK=2.3%; EXIT3_PROGRESSED_TO_EARLY_TREND=0.8%,9
REALISTIC_P2-2_ELIGIBLE,LATE_NORMALIZED,485,26,98.86,87.525,51.5625,118.0275,88.4615,23,88.4615,19,73.0769,12,46.1538,2,7.6923,2,7.6923,1,3.8462,1,3.8462,0,0.0,0.0,100.0,858.8846,900.0,156.4373,135.55,-27.635,-20.9,57.5773,36.24,EXIT4_SCORE_DRAWDOWN_GE_15=88.5%; EXIT3_PROGRESSED_TO_EARLY_TREND=3.8%; EXIT3_PROGRESSED_TO_WEAK=3.8%; EXIT3_PROGRESSED_TO_TRANSITION=3.8%,0
REALISTIC_P2-2_ELIGIBLE,NEVER_NORMALIZED_COVERAGE,485,326,-7.6105,-15.56,-16.7375,-14.4425,12.5767,24,7.362,19,5.8282,6,1.8405,217,66.5644,5,1.5337,2,0.6135,2,0.6135,1,0.3067,9.2025,90.7975,130.2331,54.0,21.6969,9.78,-17.2117,-16.9,29.3073,23.76,LOSS_GUARD_CLOSE_LE_NEG_15=82.2%; EXIT4_SCORE_DRAWDOWN_GE_15=8.6%; NO_PROGRESSED_BEFORE_CUTOFF=4.6%; NO_EXIT_BEFORE_CUTOFF=4.6%,30
REALISTIC_P2-2_ELIGIBLE,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,485,43,35.6698,28.93,-6.405,77.27,69.7674,21,48.8372,16,37.2093,6,13.9535,7,16.2791,3,6.9767,2,4.6512,2,4.6512,1,2.3256,34.8837,65.1163,404.5349,279.0,74.0491,63.28,-16.076,-12.46,38.3793,33.04,EXIT4_SCORE_DRAWDOWN_GE_15=65.1%; NO_EXIT_BEFORE_CUTOFF=34.9%,15
REALISTIC_P2-2_ELIGIBLE,C2_NO_PROGRESSED_WHILE_HELD,485,283,-14.1866,-15.66,-16.875,-14.9,3.8869,3,1.0601,3,1.0601,0,0.0,210,74.2049,2,0.7067,0,0.0,0,0.0,0,0.0,5.3004,94.6996,88.5548,44.0,13.7423,7.58,-17.3842,-16.98,27.9289,23.16,LOSS_GUARD_CLOSE_LE_NEG_15=94.7%; NO_PROGRESSED_BEFORE_CUTOFF=5.3%,15
REALISTIC_P2-2_FILLED,FIRST_PROGRESSED_NORMAL,242,61,56.9077,26.4,13.99,79.04,83.6066,28,45.9016,25,40.9836,11,18.0328,3,4.918,1,1.6393,1,1.6393,0,0.0,0,0.0,9.8361,90.1639,182.3607,141.0,102.6767,68.26,-9.7336,-9.42,45.769,28.15,EXIT4_SCORE_DRAWDOWN_GE_15=80.3%; NO_EXIT_BEFORE_CUTOFF=9.8%; EXIT3_PROGRESSED_TO_TRANSITION=6.6%; EXIT3_PROGRESSED_TO_WEAK=3.3%,6
REALISTIC_P2-2_FILLED,LATE_NORMALIZED,242,16,97.4594,94.29,49.1575,122.2025,87.5,14,87.5,11,68.75,8,50.0,2,12.5,2,12.5,1,6.25,1,6.25,0,0.0,0.0,100.0,973.875,1067.5,151.25,135.55,-28.2681,-24.685,53.7906,28.85,EXIT4_SCORE_DRAWDOWN_GE_15=87.5%; EXIT3_PROGRESSED_TO_WEAK=6.2%; EXIT3_PROGRESSED_TO_TRANSITION=6.2%,0
REALISTIC_P2-2_FILLED,NEVER_NORMALIZED_COVERAGE,242,165,-9.2676,-15.6,-16.67,-14.52,10.9091,9,5.4545,7,4.2424,3,1.8182,111,67.2727,3,1.8182,1,0.6061,1,0.6061,0,0.0,10.9091,89.0909,125.9576,49.0,19.9536,9.22,-17.1125,-16.71,29.2213,23.67,LOSS_GUARD_CLOSE_LE_NEG_15=83.0%; NO_PROGRESSED_BEFORE_CUTOFF=6.7%; EXIT4_SCORE_DRAWDOWN_GE_15=6.1%; NO_EXIT_BEFORE_CUTOFF=4.2%,18
REALISTIC_P2-2_FILLED,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,242,17,29.5253,21.2,-6.92,52.84,58.8235,7,41.1765,5,29.4118,3,17.6471,2,11.7647,1,5.8824,1,5.8824,1,5.8824,0,0.0,41.1765,58.8235,434.0,258.0,65.5965,52.62,-16.1676,-13.25,36.0712,35.95,EXIT4_SCORE_DRAWDOWN_GE_15=58.8%; NO_EXIT_BEFORE_CUTOFF=41.2%,7
REALISTIC_P2-2_FILLED,C2_NO_PROGRESSED_WHILE_HELD,242,148,-13.7236,-15.755,-16.75,-14.8675,5.4054,2,1.3514,2,1.3514,0,0.0,109,73.6486,2,1.3514,0,0.0,0,0.0,0,0.0,7.4324,92.5676,90.5743,45.0,14.7109,7.72,-17.221,-16.905,28.4345,23.425,LOSS_GUARD_CLOSE_LE_NEG_15=92.6%; NO_PROGRESSED_BEFORE_CUTOFF=7.4%,11
