ticker,trade_sequence,trade_id,structural_match,numeric_match,overall_match,structural_mismatch_count,numeric_mismatch_count,max_numeric_abs_error
019210,1,019210_01,False,True,False,1,0,0.0
021240,1,021240_01,False,True,False,1,0,0.0
023160,1,023160_01,True,True,True,0,0,0.0
023530,1,023530_01,False,False,False,7,12,155588152500.0
023530,2,023530_02,False,False,False,28,12,0.0
023600,1,023600_01,False,True,False,1,0,0.0
023760,1,023760_01,False,True,False,1,0,0.0
023910,1,023910_01,False,True,False,1,0,0.0
024110,1,024110_01,False,False,False,3,9,550223849610.0
025860,1,025860_01,False,True,False,1,0,0.0
027410,1,027410_01,False,True,False,1,0,0.0
028050,1,028050_01,False,False,False,28,12,0.0
028260,1,028260_01,False,False,False,7,12,787829669500.0
028260,2,028260_02,False,False,False,5,10,4981103125200.0
029460,1,029460_01,False,True,False,1,0,0.0
029780,1,029780_01,False,True,False,1,0,0.0
030000,1,030000_01,False,True,False,1,0,0.0
030190,1,030190_01,False,True,False,1,0,0.0
030200,1,030200_01,False,False,False,3,10,644651900000.0
032350,1,032350_01,False,True,False,1,0,0.0
032830,1,032830_01,False,False,False,8,12,880000000000.0
032830,2,032830_02,False,False,False,9,12,440000000000.0
032830,3,032830_03,False,False,False,7,10,11380000000000.0
033780,1,033780_01,False,True,False,1,0,0.0
034230,1,034230_01,False,True,False,1,0,0.0
034310,1,034310_01,False,True,False,1,0,0.0
034730,1,034730_01,False,False,False,10,12,inf
034730,2,034730_02,False,False,False,28,12,0.0
035420,1,035420_01,False,True,False,1,0,0.0
035890,1,035890_01,False,True,False,1,0,0.0
036190,1,036190_01,False,True,False,1,0,0.0
036620,1,036620_01,False,True,False,1,0,0.0
036890,1,036890_01,False,True,False,1,0,0.0
037460,1,037460_01,True,True,True,0,0,0.0
039340,1,039340_01,False,True,False,1,0,0.0
042660,1,042660_01,False,False,False,28,12,0.0
044450,1,044450_01,False,True,False,1,0,0.0
052330,1,052330_01,False,True,False,1,0,0.0
053350,1,053350_01,False,True,False,1,0,0.0
054950,1,054950_01,False,True,False,1,0,0.0
055550,1,055550_01,False,False,False,28,12,0.0
055550,2,055550_02,False,False,False,28,12,0.0
058610,1,058610_01,True,True,True,0,0,0.0
060980,1,060980_01,False,True,False,1,0,0.0
064760,1,064760_01,False,True,False,1,0,0.0
064960,1,064960_01,False,True,False,1,0,0.0
065660,1,065660_01,False,True,False,1,0,0.0
066570,1,066570_01,False,False,False,28,12,0.0
066620,1,066620_01,False,True,False,1,0,0.0
067830,1,067830_01,False,True,False,1,0,0.0
068270,1,068270_01,False,True,False,1,0,0.0
069460,1,069460_01,False,True,False,1,0,0.0
069620,1,069620_01,False,False,False,7,12,81106025000.0
069960,1,069960_01,False,True,False,1,0,0.0
072710,1,072710_01,False,True,False,1,0,0.0
078930,1,078930_01,False,False,False,8,12,51103457900.0
078930,2,078930_02,False,False,False,10,12,inf
078930,3,078930_03,False,False,False,28,12,0.0
079550,1,079550_01,False,False,False,28,12,0.0
079960,1,079960_01,False,True,False,1,0,0.0
084110,1,084110_01,False,True,False,1,0,0.0
086280,1,086280_01,False,True,False,1,0,0.0
086790,1,086790_01,False,False,False,28,12,0.0
086790,2,086790_02,False,False,False,28,12,0.0
088350,1,088350_01,False,True,False,1,0,0.0
089970,1,089970_01,False,True,False,1,0,0.0
090350,1,090350_01,False,True,False,1,0,0.0
090850,1,090850_01,False,True,False,1,0,0.0
092230,1,092230_01,False,True,False,1,0,0.0
092730,1,092730_01,False,True,False,1,0,0.0
095610,1,095610_01,False,True,False,1,0,0.0
096530,1,096530_01,False,True,False,1,0,0.0
097520,1,097520_01,True,True,True,0,0,0.0
099430,1,099430_01,False,True,False,1,0,0.0
102710,1,102710_01,False,True,False,1,0,0.0
105560,1,105560_01,False,False,False,9,12,inf
105560,2,105560_02,False,False,False,28,12,0.0
108380,1,108380_01,True,True,True,0,0,0.0
109740,1,109740_01,False,True,False,1,0,0.0
111770,1,111770_01,False,True,False,1,0,0.0
112610,1,112610_01,False,True,False,1,0,0.0
114810,1,114810_01,False,True,False,1,0,0.0
122870,1,122870_01,False,True,False,1,0,0.0
127120,1,127120_01,False,True,False,1,0,0.0
139130,1,139130_01,True,True,True,0,0,0.0
140860,1,140860_01,False,True,False,1,0,0.0
145020,1,145020_01,False,False,False,3,10,65642911500.0
145990,1,145990_01,False,True,False,1,0,0.0
183190,1,183190_01,False,True,False,1,0,0.0
183300,1,183300_01,False,True,False,1,0,0.0
192080,1,192080_01,False,True,False,1,0,0.0
200670,1,200670_01,False,True,False,1,0,0.0
200670,2,200670_02,False,True,False,1,0,0.0
