ticker,trade_sequence,column,authority,production,kind
272210,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20230630.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230630.csv,STRUCTURAL
310200,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
316140,1,entry_signal_date,2024-03-29,2023-01-27,STRUCTURAL
316140,1,entry_execution_date,2024-04-01,2023-01-30,STRUCTURAL
316140,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20240329.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230127.csv,STRUCTURAL
316140,1,entry_open,14450.0,13460.0,NUMERIC
316140,1,fast_score,79.8,76.85,NUMERIC
316140,1,investability_market_cap,10767916281520.0,9814256200520.0,NUMERIC
316140,1,investability_avg_trading_value_20d,66049367083.0,42037555494.2,NUMERIC
316140,1,terminal_return,94.46,108.77,NUMERIC
316140,1,mfe,102.42,117.31,NUMERIC
316140,1,mae,-9.0,-19.17,NUMERIC
316140,1,peak_giveback,7.96,8.54,NUMERIC
316140,1,profit_capture,0.9223,0.9272,NUMERIC
316140,1,holding_weeks,85.2,142.8,NUMERIC
383800,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
950170,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
