ticker,trade_sequence,column,authority,production,kind
001740,1,profit_capture,0.22,0.2527,NUMERIC
001740,1,holding_weeks,152.0,155.8,NUMERIC
001800,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20240927.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240927.csv,STRUCTURAL
002200,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20241227.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20241227.csv,STRUCTURAL
003230,1,entry_signal_date,2022-12-23,2022-04-22,STRUCTURAL
003230,1,entry_execution_date,2022-12-26,2022-04-25,STRUCTURAL
003230,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20221223.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220422.csv,STRUCTURAL
003230,1,loss_guard_signal_date,2023-05-30,2022-05-10,STRUCTURAL
003230,1,loss_guard_execution_date,2023-05-31,2022-05-11,STRUCTURAL
003230,1,exit_signal_date,2023-05-30,2022-05-10,STRUCTURAL
003230,1,exit_execution_date,2023-05-31,2022-05-11,STRUCTURAL
003230,1,entry_open,124500.0,104500.0,NUMERIC
003230,1,fast_score,80.24,80.99,NUMERIC
003230,1,investability_market_cap,937860367500.0,802266097500.0,NUMERIC
003230,1,investability_avg_trading_value_20d,7020416700.0,13696628245.0,NUMERIC
003230,1,loss_guard_execution_price,106000.0,87900.0,NUMERIC
003230,1,exit_price,106000.0,87900.0,NUMERIC
003230,1,terminal_return,-14.86,-15.89,NUMERIC
003230,1,mfe,6.43,2.39,NUMERIC
003230,1,mae,-15.74,-18.09,NUMERIC
003230,1,peak_giveback,21.29,18.28,NUMERIC
003230,1,profit_capture,-2.311,-6.6485,NUMERIC
003230,1,holding_weeks,21.2,2.4,NUMERIC
003720,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20240927.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240927.csv,STRUCTURAL
004140,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
004150,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
004170,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
004370,1,entry_signal_date,2022-12-23,2022-02-04,STRUCTURAL
004370,1,entry_execution_date,2022-12-26,2022-02-07,STRUCTURAL
004370,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20221223.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220204.csv,STRUCTURAL
004370,1,loss_guard_triggered,false,true,STRUCTURAL
004370,1,loss_guard_signal_date,<NULL>,2022-03-14,STRUCTURAL
004370,1,loss_guard_execution_date,<NULL>,2022-03-15,STRUCTURAL
