date,cash,invested_market_value,equity,position_count,cash_ratio,invested_ratio,high_water_mark,drawdown_pct
2023-02-07,74.0,167849982.0,167850056.0,45,4.408696771599528e-07,0.9999995591303228,202469047.0,-17.098411590785034
2023-02-08,74.0,170173602.0,170173676.0,45,4.3484986479342433e-07,0.9999995651501352,202469047.0,-15.950769502066164
2023-02-09,74.0,170949619.0,170949693.0,45,4.328758870599434e-07,0.999999567124113,202469047.0,-15.567492644937476
2023-02-10,74.0,168907204.0,168907278.0,45,4.3811019203092004e-07,0.999999561889808,202469047.0,-16.576246837374608
2023-02-13,74.0,169085150.0,169085224.0,45,4.376491230244933e-07,0.999999562350877,202469047.0,-16.48835883541251
2023-02-14,74.0,170297565.0,170297639.0,45,4.3453332902636424e-07,0.999999565466671,202469047.0,-15.889543847163957
2023-02-15,74.0,168023498.0,168023572.0,45,4.4041439614198895e-07,0.9999995595856038,202469047.0,-17.01271157758746
2023-02-16,74.0,169921283.0,169921357.0,45,4.3549558046432034e-07,0.9999995645044195,202469047.0,-16.07539052623683
2023-02-17,74.0,169855839.0,169855913.0,45,4.3566337310847695e-07,0.9999995643366268,202469047.0,-16.107713491633113
2023-02-20,74.0,171831944.0,171832018.0,45,4.306531510326556e-07,0.999999569346849,202469047.0,-15.131709984292064
2023-02-21,74.0,172142896.0,172142970.0,45,4.298752368452804e-07,0.9999995701247631,202469047.0,-14.97812996571274
2023-02-22,74.0,170070776.0,170070850.0,45,4.351127779981108e-07,0.999999564887222,202469047.0,-16.001555536535918
2023-02-23,74.0,171264401.0,171264475.0,45,4.3208026650010165e-07,0.9999995679197335,202469047.0,-15.412020979187002
2023-02-24,74.0,169502222.0,169502296.0,45,4.3657225740470205e-07,0.9999995634277425,202469047.0,-16.282365867015713
2023-02-27,74.0,168867560.0,168867634.0,45,4.382130444250791e-07,0.9999995617869556,202469047.0,-16.595827114255147
2023-02-28,74.0,169547639.0,169547713.0,45,4.3645531213977507e-07,0.9999995635446879,202469047.0,-16.259934290104106
2023-03-02,74.0,171532287.0,171532361.0,45,4.314054768942404e-07,0.9999995685945231,202469047.0,-15.279711372375848
2023-03-03,74.0,171823417.0,171823491.0,45,4.306745228450748e-07,0.9999995693254772,202469047.0,-15.13592149223678
2023-03-06,324.0,172538977.0,172539301.0,46,1.8778330393259215e-06,0.9999981221669607,202469047.0,-14.782381032296755
2023-03-07,324.0,173101584.0,173101908.0,46,1.8717298020770515e-06,0.999998128270198,202469047.0,-14.504507940910095
2023-03-08,324.0,171757183.0,171757507.0,46,1.8863804305217355e-06,0.9999981136195695,202469047.0,-15.168511165067123
2023-03-09,324.0,171085766.0,171086090.0,46,1.8937834162905939e-06,0.9999981062165837,202469047.0,-15.500125804414932
2023-03-10,324.0,168485565.0,168485889.0,46,1.9230097067654136e-06,0.9999980769902932,202469047.0,-16.784371983535827
2023-03-13,324.0,166531427.0,166531751.0,46,1.9455749312333837e-06,0.9999980544250687,202469047.0,-17.74952593124024
2023-03-14,324.0,160286533.0,160286857.0,46,2.0213759634702926e-06,0.9999979786240365,202469047.0,-20.833895662086064
2023-03-15,324.0,162754772.0,162755096.0,46,1.9907210770223748e-06,0.999998009278923,202469047.0,-19.614825865209905
2023-03-16,324.0,162948305.0,162948629.0,46,1.988356710874812e-06,0.9999980116432892,202469047.0,-19.519239402554213
2023-03-17,324.0,165282611.0,165282935.0,46,1.960274967285643e-06,0.9999980397250328,202469047.0,-18.366319470057068
2023-03-20,324.0,166262189.0,166262513.0,46,1.948725507354746e-06,0.9999980512744926,202469047.0,-17.882503294441843
2023-03-21,324.0,165910159.0,165910483.0,46,1.952860326493052e-06,0.9999980471396736,202469047.0,-18.056371846309915
2023-03-22,324.0,166976226.0,166976550.0,46,1.940392228729124e-06,0.9999980596077712,202469047.0,-17.52983852391028
2023-03-23,324.0,166001118.0,166001442.0,46,1.951790274207377e-06,0.9999980482097258,202469047.0,-18.01144695465475
2023-03-24,324.0,167517631.0,167517955.0,46,1.934121031981318e-06,0.999998065878968,202469047.0,-17.262437156628685
2023-03-27,324.0,165840360.0,165840684.0,46,1.953682246028363e-06,0.999998046317754,202469047.0,-18.090845757771557
2023-03-28,324.0,168263969.0,168264293.0,46,1.925542218276815e-06,0.9999980744577818,202469047.0,-16.893818836417008
2023-03-29,324.0,169189066.0,169189390.0,46,1.9150137015092967e-06,0.9999980849862985,202469047.0,-16.43691097138419
2023-03-30,324.0,170308842.0,170309166.0,46,1.902422562506119e-06,0.9999980975774375,202469047.0,-15.883850631252294
2023-03-31,324.0,170452345.0,170452669.0,46,1.9008209252505164e-06,0.9999980991790748,202469047.0,-15.812974118458712
2023-04-03,324.0,170963737.0,170964061.0,46,1.8951351418822462e-06,0.9999981048648581,202469047.0,-15.56039625158111
2023-04-04,324.0,171294446.0,171294770.0,46,1.8914763130246183e-06,0.999998108523687,202469047.0,-15.397058198234125
2023-04-05,324.0,172639090.0,172639414.0,46,1.8767440904311688e-06,0.9999981232559095,202469047.0,-14.73293495573178
