ticker,name,market,asset_type,cached,cache_last_date,staleness_trading_days,freshness,completed_months,daily_rows,has_future,has_dup,is_unsorted,raw_ready,feature_ready,score_ready,stage_ready,evaluator_ready,quality_status,error_type,error_message
021880,메이슨캐피탈,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
0218L0,네오뷰,KOSDAQ,UNKNOWN,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
022220,티케이지애강,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
023160,태광,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
023410,유진기업,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
023440,제이스코홀딩스,KOSDAQ,COMMON,True,2026-03-23,104,VERY_STALE,55,1123,False,False,False,True,True,True,True,True,STALE_DATA,,
023600,삼보판지,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
023760,한국캐피탈,KOSDAQ,COMMON,True,2026-07-29,12,VERY_STALE,59,1210,False,False,False,True,True,True,True,True,STALE_DATA,,
023770,플레이위드,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
023790,동일스틸럭스,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
023900,풍국주정,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
023910,대한약품,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
024060,흥구석유,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
024120,KB오토시스,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
024740,한일단조,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
024800,유성티엔에스,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
024830,세원물산,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,44,891,False,False,False,True,True,True,True,True,OK,,
024840,KBI메탈,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1221,False,False,False,True,True,True,True,True,OK,,
024850,HLB이노베이션,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
024880,케이피에프,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
024910,경창산업,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
024940,PN풍년,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
024950,삼천리자전거,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
025320,시노펙스,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
025440,DH오토웨어,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
025550,한국선재,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
025770,한국정보통신,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
025870,신라에스지,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
025880,케이씨피드,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
025900,동화기업,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1208,False,False,False,True,True,True,True,True,OK,,
025950,동신건설,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1221,False,False,False,True,True,True,True,True,OK,,
