sector_a,sector_b,market,intersection_count,relation
2056,2067,KOSDAQ,0,DISJOINT
2056,2068,KOSDAQ,0,DISJOINT
2056,2070,KOSDAQ,0,DISJOINT
2056,2072,KOSDAQ,0,DISJOINT
2056,2074,KOSDAQ,0,DISJOINT
2056,2075,KOSDAQ,0,DISJOINT
2056,2077,KOSDAQ,0,DISJOINT
2056,2114,KOSDAQ,0,DISJOINT
2056,2118,KOSDAQ,0,DISJOINT
2058,2062,KOSDAQ,0,DISJOINT
2058,2063,KOSDAQ,0,DISJOINT
2058,2065,KOSDAQ,0,DISJOINT
2058,2066,KOSDAQ,0,DISJOINT
2058,2067,KOSDAQ,0,DISJOINT
2058,2068,KOSDAQ,0,DISJOINT
2058,2070,KOSDAQ,0,DISJOINT
2058,2072,KOSDAQ,0,DISJOINT
2058,2074,KOSDAQ,0,DISJOINT
2058,2075,KOSDAQ,0,DISJOINT
2058,2077,KOSDAQ,0,DISJOINT
2058,2114,KOSDAQ,0,DISJOINT
2058,2118,KOSDAQ,0,DISJOINT
2062,2063,KOSDAQ,0,DISJOINT
2062,2065,KOSDAQ,0,DISJOINT
2062,2066,KOSDAQ,0,DISJOINT
2062,2067,KOSDAQ,0,DISJOINT
2062,2068,KOSDAQ,0,DISJOINT
2062,2070,KOSDAQ,0,DISJOINT
2062,2072,KOSDAQ,0,DISJOINT
2062,2074,KOSDAQ,0,DISJOINT
2062,2075,KOSDAQ,0,DISJOINT
2062,2077,KOSDAQ,0,DISJOINT
2062,2114,KOSDAQ,0,DISJOINT
2062,2118,KOSDAQ,0,DISJOINT
2063,2065,KOSDAQ,0,DISJOINT
2063,2066,KOSDAQ,0,DISJOINT
2063,2067,KOSDAQ,0,DISJOINT
2063,2068,KOSDAQ,0,DISJOINT
2063,2070,KOSDAQ,0,DISJOINT
2063,2072,KOSDAQ,0,DISJOINT
2063,2074,KOSDAQ,0,DISJOINT
2063,2075,KOSDAQ,0,DISJOINT
2063,2077,KOSDAQ,0,DISJOINT
2063,2114,KOSDAQ,0,DISJOINT
2063,2118,KOSDAQ,0,DISJOINT
2065,2066,KOSDAQ,0,DISJOINT
2065,2067,KOSDAQ,0,DISJOINT
2065,2068,KOSDAQ,0,DISJOINT
2065,2070,KOSDAQ,0,DISJOINT
2065,2072,KOSDAQ,0,DISJOINT
2065,2074,KOSDAQ,0,DISJOINT
2065,2075,KOSDAQ,0,DISJOINT
2065,2077,KOSDAQ,0,DISJOINT
2065,2114,KOSDAQ,0,DISJOINT
2065,2118,KOSDAQ,0,DISJOINT
2066,2067,KOSDAQ,0,DISJOINT
2066,2068,KOSDAQ,0,DISJOINT
2066,2070,KOSDAQ,0,DISJOINT
2066,2072,KOSDAQ,0,DISJOINT
2066,2074,KOSDAQ,0,DISJOINT
2066,2075,KOSDAQ,0,DISJOINT
2066,2077,KOSDAQ,0,DISJOINT
2066,2114,KOSDAQ,0,DISJOINT
2066,2118,KOSDAQ,0,DISJOINT
2067,2068,KOSDAQ,0,DISJOINT
2067,2070,KOSDAQ,0,DISJOINT
2067,2072,KOSDAQ,0,DISJOINT
2067,2074,KOSDAQ,0,DISJOINT
2067,2075,KOSDAQ,0,DISJOINT
2067,2077,KOSDAQ,0,DISJOINT
2067,2114,KOSDAQ,0,DISJOINT
2067,2118,KOSDAQ,0,DISJOINT
2068,2070,KOSDAQ,0,DISJOINT
2068,2072,KOSDAQ,0,DISJOINT
2068,2074,KOSDAQ,0,DISJOINT
2068,2075,KOSDAQ,0,DISJOINT
2068,2077,KOSDAQ,0,DISJOINT
2068,2114,KOSDAQ,0,DISJOINT
2068,2118,KOSDAQ,0,DISJOINT
2070,2072,KOSDAQ,0,DISJOINT
2070,2074,KOSDAQ,0,DISJOINT
2070,2075,KOSDAQ,0,DISJOINT
2070,2077,KOSDAQ,0,DISJOINT
2070,2114,KOSDAQ,0,DISJOINT
2070,2118,KOSDAQ,0,DISJOINT
2072,2074,KOSDAQ,0,DISJOINT
2072,2075,KOSDAQ,0,DISJOINT
2072,2077,KOSDAQ,0,DISJOINT
2072,2114,KOSDAQ,0,DISJOINT
2072,2118,KOSDAQ,0,DISJOINT
2074,2075,KOSDAQ,0,DISJOINT
2074,2077,KOSDAQ,0,DISJOINT
2074,2114,KOSDAQ,0,DISJOINT
2074,2118,KOSDAQ,0,DISJOINT
2075,2077,KOSDAQ,0,DISJOINT
2075,2114,KOSDAQ,0,DISJOINT
2075,2118,KOSDAQ,0,DISJOINT
2077,2114,KOSDAQ,0,DISJOINT
2077,2118,KOSDAQ,0,DISJOINT
2114,2118,KOSDAQ,0,DISJOINT
