ticker,candidate_rank,rcept_no,report_nm,rcept_dt,event_match_score,selection_status,rejection_reason
003670,8,20210127800406,영업(잠정)실적(공정공시),20210127,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,9,20210127800402,연결재무제표기준영업(잠정)실적(공정공시),20210127,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,10,20210127800399,매출액또는손익구조30%(대규모법인은15%)이상변경,20210127,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,11,20210127800355,단기차입금증가결정,20210127,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,12,20210127800351,현금ㆍ현물배당결정,20210127,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,13,20210127800349,공정거래자율준수프로그램운영현황(안내공시),20210127,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,14,20210125000465,임원ㆍ주요주주특정증권등소유상황보고서,20210125,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,15,20210125000461,임원ㆍ주요주주특정증권등소유상황보고서,20210125,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,16,20210125000459,임원ㆍ주요주주특정증권등소유상황보고서,20210125,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,17,20210125000457,임원ㆍ주요주주특정증권등소유상황보고서,20210125,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,18,20210125000456,임원ㆍ주요주주특정증권등소유상황보고서,20210125,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,19,20210125000449,임원ㆍ주요주주특정증권등소유상황보고서,20210125,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,20,20210125000444,임원ㆍ주요주주특정증권등소유상황보고서,20210125,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,21,20210125000439,임원ㆍ주요주주특정증권등소유상황보고서,20210125,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
