ticker,name,market,isu_cd,control_trade_id,control_trade_sequence,entry_signal_date,entry_signal_information_date,entry_execution_date,entry_open,identity_effective_from,identity_effective_to,v2_exit_reason,v2_exit_category,v2_exit_signal_date,v2_exit_execution_date,v2_exit_price,v2_terminal_return,v2_mfe,v2_mae,v2_holding_days,v2_trade_status,v2_loss_guard_triggered,v2_giveback,v3_entry_signal_date,v3_entry_execution_date,v3_entry_open,v3_exit_reason,v3_exit_signal_date,v3_exit_execution_date,v3_exit_price,v3_terminal_return,v3_strategy_path_mfe,v3_strategy_path_mae,v3_holding_days,v3_trade_status,v3_fast_state_at_exit,v3_soft_threshold,v3_hard_threshold,v3_exit_mfe_tier,v3_giveback,full_path_raw_mfe,full_path_mfe_cohort,entry_signal_date_match,entry_execution_date_match,entry_open_match,return_delta_v3_minus_v2,improved_worsened_same
000240,한국앤컴퍼니,KOSPI,KR7000240002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000240_KR7000240002_KOSPI_01,1,2023-12-01,2023-12-01,2023-12-04,15710.0,2010-01-04,2026-08-21,EXIT3_PROGRESSED_TO_EARLY_TREND,EXIT3,2025-11-30,2025-12-01,29850.0,90.01,92.87,-14.96,484,REALIZED,False,2.86,2023-12-01,2023-12-04,15710.0,HARD_EXIT,2023-12-15,2023-12-18,20600.0,31.13,51.18,-0.7,11,REALIZED,SETUP,-15.0,-25.0,MFE_50_TO_100,20.05,132.017823,WINNER_CAPABLE_GE_20,True,True,True,-58.88,worsened
000270,기아,KOSPI,KR7000270009,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000270_KR7000270009_KOSPI_01,1,2023-03-31,2023-03-31,2023-04-03,81500.0,2010-01-04,2026-08-21,EXIT3_PROGRESSED_TO_TRANSITION,EXIT3,2025-01-31,2025-02-03,100200.0,22.94,65.64,-6.01,446,REALIZED,False,42.7,2023-03-31,2023-04-03,81500.0,SOFT_EXIT,2024-01-12,2024-01-15,88700.0,8.83,23.8,-6.01,193,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,14.97,160.736196,WINNER_CAPABLE_GE_20,True,True,True,-14.11,worsened
000270,기아,KOSPI,KR7000270009,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000270_KR7000270009_KOSPI_02,2,2025-10-24,2025-10-24,2025-10-27,115400.0,2010-01-04,2026-08-21,EXIT4_SCORE_DRAWDOWN_GE_15,EXIT4,2026-05-31,2026-06-01,170500.0,47.75,84.14,-5.63,146,REALIZED,False,36.39,2025-10-24,2025-10-27,115400.0,HARD_EXIT,2026-03-04,2026-03-05,171600.0,48.7,84.14,-5.63,87,REALIZED,EXTENDED,-15.0,-25.0,MFE_50_TO_100,35.44,84.142114,WINNER_CAPABLE_GE_20,True,True,True,0.95,improved
000370,한화손해보험,KOSPI,KR7000370007,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000370_KR7000370007_KOSPI_01,1,2025-06-13,2025-06-13,2025-06-16,5510.0,2010-01-04,2026-08-21,NO_EXIT_BEFORE_CUTOFF,OPEN_AT_CUTOFF,,,,33.39,96.01,-8.35,291,OPEN_AT_CUTOFF,False,62.62,2025-06-13,2025-06-16,5510.0,HARD_EXIT,2025-07-23,2025-07-24,6530.0,18.51,47.91,-3.81,29,REALIZED,EXTENDED,-10.0,-20.0,MFE_20_TO_50,29.4,96.00726,WINNER_CAPABLE_GE_20,True,True,True,-14.88,worsened
000430,대원강업,KOSPI,KR7000430009,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000430_KR7000430009_KOSPI_01,1,2026-06-12,2026-06-12,2026-06-15,5170.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2026-06-22,2026-06-23,4285.0,-17.12,2.51,-17.41,7,REALIZED,True,19.63,2026-06-12,2026-06-15,5170.0,OPEN_AT_CUTOFF,,,,-22.73,2.51,-39.26,48,OPEN_AT_CUTOFF,,,,BELOW_WINNER_MODE,25.24,2.514507,PRE_WINNER_LT_20,True,True,True,-5.61,worsened
000480,CR홀딩스,KOSPI,KR7000480004,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000480_KR7000480004_KOSPI_01,1,2021-05-07,2021-05-07,2021-05-10,9410.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2022-01-07,2022-01-10,7990.0,-15.09,4.46,-15.52,168,REALIZED,True,19.55,2021-05-07,2021-05-10,9410.0,SOFT_EXIT,2023-04-19,2023-04-20,10500.0,11.58,30.71,-21.89,468,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,19.13,155.579171,WINNER_CAPABLE_GE_20,True,True,True,26.67,improved
000480,CR홀딩스,KOSPI,KR7000480004,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000480_KR7000480004_KOSPI_02,2,2023-03-31,2023-03-31,2023-04-03,9410.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2023-09-11,2023-09-12,7860.0,-16.47,155.58,-16.68,86,REALIZED,True,172.05,2023-03-31,2023-04-03,9410.0,SOFT_EXIT,2023-04-19,2023-04-20,10500.0,11.58,30.71,-11.58,9,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,19.13,155.579171,WINNER_CAPABLE_GE_20,True,True,True,28.05,improved
000490,대동,KOSPI,KR7000490003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000490_KR7000490003_KOSPI_01,1,2025-02-14,2025-02-14,2025-02-17,13280.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2025-03-21,2025-03-24,11010.0,-17.09,4.22,-17.24,25,REALIZED,True,21.31,2025-02-14,2025-02-17,13280.0,OPEN_AT_CUTOFF,,,,-43.15,4.22,-58.81,370,OPEN_AT_CUTOFF,,,,BELOW_WINNER_MODE,47.37,4.216867,PRE_WINNER_LT_20,True,True,True,-26.06,worsened
000640,동아쏘시오홀딩스,KOSPI,KR7000640003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000640_KR7000640003_KOSPI_01,1,2021-07-16,2021-07-16,2021-07-19,127839.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2021-08-19,2021-08-20,105668.0,-17.34,3.32,-18.82,24,REALIZED,True,20.66,2021-07-16,2021-07-19,127839.0,OPEN_AT_CUTOFF,,,,-29.6,3.32,-43.32,1246,OPEN_AT_CUTOFF,,,,BELOW_WINNER_MODE,32.92,3.321365,PRE_WINNER_LT_20,True,True,True,-12.26,worsened
000640,동아쏘시오홀딩스,KOSPI,KR7000640003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000640_KR7000640003_KOSPI_02,2,2023-09-22,2023-09-22,2023-09-25,90761.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2026-06-23,2026-06-24,76300.0,-15.93,34.29,-15.93,665,REALIZED,True,50.22,2023-09-22,2023-09-25,90761.0,SOFT_EXIT,2024-05-10,2024-05-13,100289.0,10.5,26.2,-7.69,152,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,15.7,34.294466,WINNER_CAPABLE_GE_20,True,True,True,26.43,improved
000660,SK하이닉스,KOSPI,KR7000660001,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000660_KR7000660001_KOSPI_01,1,2022-03-04,2022-03-04,2022-03-07,119000.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2022-06-13,2022-06-14,96900.0,-18.57,5.04,-18.57,68,REALIZED,True,23.61,2022-03-04,2022-03-07,119000.0,HARD_EXIT,2024-08-02,2024-08-05,168000.0,41.18,108.82,-38.57,597,REALIZED,SETUP,-20.0,-30.0,MFE_100_TO_200,67.64,2410.084034,WINNER_CAPABLE_GE_20,True,True,True,59.75,improved
000660,SK하이닉스,KOSPI,KR7000660001,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000660_KR7000660001_KOSPI_02,2,2023-06-02,2023-06-02,2023-06-05,110100.0,2010-01-04,2026-08-21,EXIT4_SCORE_DRAWDOWN_GE_15,EXIT4,2024-04-30,2024-05-02,169000.0,53.5,73.84,-3.09,224,REALIZED,False,20.34,2023-06-02,2023-06-05,110100.0,HARD_EXIT,2024-08-02,2024-08-05,168000.0,52.59,125.7,-3.09,288,REALIZED,SETUP,-20.0,-30.0,MFE_100_TO_200,73.11,2612.988193,WINNER_CAPABLE_GE_20,True,True,True,-0.91,worsened
000670,영풍,KOSPI,KR7000670000,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000670_KR7000670000_KOSPI_01,1,2021-04-30,2021-04-30,2021-05-03,63794.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2022-06-20,2022-06-21,53806.0,-15.66,13.74,-17.13,280,REALIZED,True,29.4,2021-04-30,2021-05-03,63794.0,SOFT_EXIT,2022-11-25,2022-11-28,73405.0,15.07,33.38,-26.37,389,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,18.31,33.38245,WINNER_CAPABLE_GE_20,True,True,True,30.73,improved
000670,영풍,KOSPI,KR7000670000,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000670_KR7000670000_KOSPI_02,2,2022-09-23,2022-09-23,2022-09-26,68882.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2022-10-20,2022-10-21,58329.0,-15.32,2.05,-16.96,18,REALIZED,True,17.37,2022-09-23,2022-09-26,68882.0,SOFT_EXIT,2022-11-25,2022-11-28,73405.0,6.57,23.53,-19.97,44,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,16.96,23.530095,WINNER_CAPABLE_GE_20,True,True,True,21.89,improved
000670,영풍,KOSPI,KR7000670000,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000670_KR7000670000_KOSPI_03,3,2022-11-11,2022-11-11,2022-11-14,71144.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2022-12-23,2022-12-26,59365.0,-16.56,19.6,-17.09,31,REALIZED,True,36.16,2022-11-11,2022-11-14,71144.0,OPEN_AT_CUTOFF,,,,-47.57,19.6,-62.91,912,OPEN_AT_CUTOFF,,,,BELOW_WINNER_MODE,67.17,19.602496,PRE_WINNER_LT_20,True,True,True,-31.01,worsened
000670,영풍,KOSPI,KR7000670000,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000670_KR7000670000_KOSPI_04,4,2025-11-14,2025-11-14,2025-11-17,55064.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2026-01-02,2026-01-05,45500.0,-17.37,30.39,-18.28,33,REALIZED,True,47.76,2025-11-14,2025-11-17,55064.0,HARD_EXIT,2025-12-16,2025-12-17,56426.0,2.47,30.39,-2.65,23,REALIZED,TRIGGER,-10.0,-20.0,MFE_20_TO_50,27.92,30.388275,WINNER_CAPABLE_GE_20,True,True,True,19.84,improved
000670,영풍,KOSPI,KR7000670000,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000670_KR7000670000_KOSPI_05,5,2026-01-30,2026-01-30,2026-02-02,59700.0,2010-01-04,2026-08-21,EXIT3_PROGRESSED_TO_WEAK,EXIT3,2026-07-31,2026-08-03,32450.0,-45.64,18.93,-48.07,122,REALIZED,False,64.57,2026-01-30,2026-02-02,59700.0,OPEN_AT_CUTOFF,,,,-37.52,18.93,-48.07,135,OPEN_AT_CUTOFF,,,,BELOW_WINNER_MODE,56.45,18.927973,PRE_WINNER_LT_20,True,True,True,8.12,improved
000720,현대건설,KOSPI,KR7000720003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000720_KR7000720003_KOSPI_01,1,2021-04-30,2021-04-30,2021-05-03,48551.0,2010-01-04,2026-08-21,EXIT4_SCORE_DRAWDOWN_GE_15,EXIT4,2021-09-30,2021-10-01,51200.0,5.46,24.05,-3.51,102,REALIZED,False,18.59,2021-04-30,2021-05-03,48551.0,SOFT_EXIT,2021-07-23,2021-07-26,53513.0,10.22,24.05,-1.5,57,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,13.83,308.642458,WINNER_CAPABLE_GE_20,True,True,True,4.76,improved
000720,현대건설,KOSPI,KR7000720003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000720_KR7000720003_KOSPI_02,2,2025-03-07,2025-03-07,2025-03-10,35650.0,2010-01-04,2026-08-21,EXIT4_SCORE_DRAWDOWN_GE_15,EXIT4,2025-09-30,2025-10-01,54500.0,52.88,138.71,-11.22,142,REALIZED,False,85.83,2025-03-07,2025-03-10,35650.0,HARD_EXIT,2025-08-20,2025-08-21,60100.0,68.58,138.71,-11.22,113,REALIZED,EXTENDED,-20.0,-30.0,MFE_100_TO_200,70.13,456.521739,WINNER_CAPABLE_GE_20,True,True,True,15.7,improved
000810,삼성화재,KOSPI,KR7000810002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000810_KR7000810002_KOSPI_01,1,2021-07-02,2021-07-02,2021-07-05,223000.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2022-03-02,2022-03-03,189000.0,-15.25,13.45,-16.14,163,REALIZED,True,28.7,2021-07-02,2021-07-05,223000.0,SOFT_EXIT,2023-11-17,2023-11-20,246000.0,10.31,23.09,-20.63,587,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,12.78,239.461883,WINNER_CAPABLE_GE_20,True,True,True,25.56,improved
000810,삼성화재,KOSPI,KR7000810002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000810_KR7000810002_KOSPI_02,2,2022-12-16,2022-12-16,2022-12-19,212000.0,2010-01-04,2026-08-21,EXIT4_SCORE_DRAWDOWN_GE_15,EXIT4,2024-06-30,2024-07-01,383500.0,80.9,85.61,-10.14,376,REALIZED,False,4.71,2022-12-16,2022-12-19,212000.0,SOFT_EXIT,2023-11-17,2023-11-20,246000.0,16.04,29.48,-10.14,227,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,13.44,257.075472,WINNER_CAPABLE_GE_20,True,True,True,-64.86,worsened
000880,한화,KOSPI,KR7000880005,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000880_KR7000880005_KOSPI_01,1,2021-08-27,2021-08-27,2021-08-30,42556.0,2010-01-04,2026-08-21,EXIT4_SCORE_DRAWDOWN_GE_15,EXIT4,2025-06-30,2025-07-01,121128.0,184.63,193.66,-39.35,938,REALIZED,False,9.03,2021-08-27,2021-08-30,42556.0,HARD_EXIT,2025-02-28,2025-03-04,49339.0,15.94,46.69,-39.35,858,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,30.75,369.402669,WINNER_CAPABLE_GE_20,True,True,True,-168.69,worsened
000990,DB하이텍,KOSPI,KR7000990002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000990_KR7000990002_KOSPI_01,1,2025-09-19,2025-09-19,2025-09-22,57800.0,2010-01-04,2026-08-21,EXIT4_SCORE_DRAWDOWN_GE_15,EXIT4,2026-02-28,2026-03-03,93600.0,61.94,96.37,-9.34,105,REALIZED,False,34.43,2025-09-19,2025-09-22,57800.0,SOFT_EXIT,2025-11-21,2025-11-24,62000.0,7.27,25.78,-9.34,41,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,18.51,298.788927,WINNER_CAPABLE_GE_20,True,True,True,-54.67,worsened
001040,CJ,KOSPI,KR7001040005,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_001040_KR7001040005_KOSPI_01,1,2023-01-06,2023-01-06,2023-01-09,81800.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2023-06-29,2023-06-30,68000.0,-16.87,40.71,-17.24,118,REALIZED,True,57.58,2023-01-06,2023-01-09,81800.0,HARD_EXIT,2023-04-28,2023-05-02,91000.0,11.25,40.71,-4.52,78,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,29.46,187.286064,WINNER_CAPABLE_GE_20,True,True,True,28.12,improved
001040,CJ,KOSPI,KR7001040005,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_001040_KR7001040005_KOSPI_02,2,2023-12-08,2023-12-08,2023-12-11,99200.0,2010-01-04,2026-08-21,EXIT4_SCORE_DRAWDOWN_GE_15,EXIT4,2024-07-31,2024-08-01,130900.0,31.96,54.13,-14.72,158,REALIZED,False,22.17,2023-12-08,2023-12-11,99200.0,SOFT_EXIT,2024-04-12,2024-04-15,115100.0,16.03,36.59,-14.72,84,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,20.56,136.895161,WINNER_CAPABLE_GE_20,True,True,True,-15.93,worsened
001060,JW중외제약,KOSPI,KR7001060003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_001060_KR7001060003_KOSPI_01,1,2022-03-11,2022-03-11,2022-03-14,26909.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2022-06-15,2022-06-16,22623.0,-15.93,12.92,-17.17,64,REALIZED,True,28.85,2022-03-11,2022-03-14,26909.0,HARD_EXIT,2023-09-22,2023-09-25,38545.0,43.24,91.36,-40.71,371,REALIZED,SETUP,-15.0,-25.0,MFE_50_TO_100,48.12,91.356052,WINNER_CAPABLE_GE_20,True,True,True,59.17,improved
