case_type,rank,ticker,name,market,isu_cd,control_trade_id,control_trade_sequence,identity_effective_from,identity_effective_to,entry_signal_date,entry_execution_date,entry_open,v2_exit_category,v2_terminal_return,v2_mfe,v2_mae,v2_holding_days,v2_giveback,v3_exit_reason,v3_terminal_return,v3_strategy_path_mfe,v3_strategy_path_mae,v3_holding_days,v3_giveback,full_path_raw_mfe,full_path_mfe_cohort,return_delta_v3_minus_v2
PAIRED_DELTA_LOWEST,8,047050,포스코인터내셔널,KOSPI,KR7047050000,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_047050_KR7047050000_KOSPI_02,2,2010-01-04,2026-08-21,2023-04-14,2023-04-17,27450.0,EXIT4,191.07,252.28,-4.92,95,61.21,HARD_EXIT,0.91,26.05,-2.0,8,25.14,252.276867,WINNER_CAPABLE_GE_20,-190.16
PAIRED_DELTA_LOWEST,9,034020,두산에너빌리티,KOSPI,KR7034020008,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_034020_KR7034020008_KOSPI_03,3,2010-01-04,2026-08-21,2025-01-24,2025-01-31,23500.0,EXIT4,188.51,207.23,-15.06,102,18.72,SOFT_EXIT,5.32,31.49,-3.4,22,26.17,492.340426,WINNER_CAPABLE_GE_20,-183.19
PAIRED_DELTA_LOWEST,10,032190,다우데이타,KOSDAQ,KR7032190001,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_032190_KR7032190001_KOSDAQ_01,1,2010-01-04,2026-08-21,2022-10-28,2022-10-31,15250.0,EXIT4,218.36,260.66,-0.66,85,42.3,HARD_EXIT,40.0,260.66,-0.66,123,220.66,260.655738,WINNER_CAPABLE_GE_20,-178.36
WINNER_PRESERVATION_LARGEST_DELTA,1,095610,테스,KOSDAQ,KR7095610002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_095610_KR7095610002_KOSDAQ_02,2,2010-01-04,2026-08-21,2025-03-14,2025-03-17,24000.0,LOSS_GUARD,-23.25,2.29,-23.25,16,25.54,HARD_EXIT,486.67,885.42,-28.21,322,398.75,885.416667,WINNER_CAPABLE_GE_20,509.92
WINNER_PRESERVATION_LARGEST_DELTA,2,006800,미래에셋증권,KOSPI,KR7006800007,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_006800_KR7006800007_KOSPI_01,1,2010-01-04,2026-08-21,2024-02-16,2024-02-19,8911.0,LOSS_GUARD,-16.65,2.79,-17.1,39,19.44,HARD_EXIT,473.45,885.3,-26.26,559,411.85,885.299069,WINNER_CAPABLE_GE_20,490.1
WINNER_PRESERVATION_LARGEST_DELTA,3,006800,미래에셋증권,KOSPI,KR7006800007,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_006800_KR7006800007_KOSPI_02,2,2010-01-04,2026-08-21,2024-09-13,2024-09-19,8752.0,EXIT4,112.51,188.39,-9.91,211,75.88,HARD_EXIT,483.87,903.2,-9.91,416,419.33,903.199269,WINNER_CAPABLE_GE_20,371.36
WINNER_PRESERVATION_LARGEST_DELTA,4,036930,주성엔지니어링,KOSDAQ,KR7036930006,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_036930_KR7036930006_KOSDAQ_01,1,2010-01-04,2026-08-21,2025-03-21,2025-03-24,41950.0,LOSS_GUARD,-14.9,1.79,-18.83,12,16.69,HARD_EXIT,297.85,574.61,-37.9,308,276.76,574.612634,WINNER_CAPABLE_GE_20,312.75
WINNER_PRESERVATION_LARGEST_DELTA,5,298040,효성중공업,KOSPI,KR7298040007,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_298040_KR7298040007_KOSPI_02,2,2018-07-13,2026-08-21,2022-12-02,2022-12-05,80200.0,LOSS_GUARD,-15.71,7.23,-16.08,34,22.94,HARD_EXIT,236.03,484.79,-20.32,411,248.76,5812.718204,WINNER_CAPABLE_GE_20,251.74
WINNER_PRESERVATION_LARGEST_DELTA,6,042660,한화오션,KOSPI,KR7042660001,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_042660_KR7042660001_KOSPI_03,3,2010-01-04,2026-08-21,2024-11-08,2024-11-11,37550.0,LOSS_GUARD,-17.71,9.32,-18.77,21,27.03,SOFT_EXIT,208.12,312.25,-20.51,369,104.13,312.250333,WINNER_CAPABLE_GE_20,225.83
WINNER_PRESERVATION_LARGEST_DELTA,7,267250,HD현대,KOSPI,KR7267250009,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_267250_KR7267250009_KOSPI_01,1,2017-05-10,2026-08-21,2021-06-04,2021-06-07,77000.0,LOSS_GUARD,-17.14,0.0,-17.27,54,17.14,SOFT_EXIT,200.0,332.47,-40.91,1234,132.47,332.467532,WINNER_CAPABLE_GE_20,217.14
